1,2,1315,1341,43,2290,1.879e+04,5.663e+05,238.5,28.44,1.309e+06,78.64,3.617,18.74,31.1,35.07,11.96,191.9,1.309e+04,887
2,2,685,1613,24,8597,7.02e+04,1.086e+06,461,34.8,2.51e+06,51.17,1.766,36.42,58.85,73.17,14.75,88.41,2.115e+04,967.6
3,2,1119,1357,33,1.424e+04,6.707e+04,1.968e+06,450.6,21.1,4.548e+06,50.14,2.144,73.03,64.19,109.9,31.15,70.35,7.293e+04,2673
4,2,762,1669,13,3328,1.624e+04,2.484e+05,221.7,27.37,5.74e+05,31.33,1.309,35.89,20.92,40.91,8.316,81.04,8988,725.7
5,2,1169,1434,30,1.359e+04,5.004e+04,1.53e+06,389.2,19.56,3.536e+06,42.92,1.617,70.05,64.57,107.9,25.64,65.11,6.175e+04,2338
6,2,1338,1463,30,5631,1.696e+04,5.671e+05,226.6,18.06,1.31e+06,41.56,1.656,53.63,73.77,100.7,26.33,153.8,3.528e+04,1705
7,2,1059,444,40,1.029e+04,4.529e+04,6.79e+05,370.2,34.65,1.569e+06,27.82,1.104,29.66,50.07,60.11,19.31,34.33,2.295e+04,1218
8,2,1276,1478,24,1958,7086,2.03e+05,146.5,17.07,4.692e+05,41.5,1.67,31.54,22.71,39.78,12.42,169.2,9289,689.9
9,2,1459,621,36,4319,9271,1.476e+05,167.5,24.88,3.41e+05,17.13,0.8096,11.95,17.85,15.91,6.891,15.86,1.422e+04,1383
10,2,1136,407,38,2.769e+04,1.582e+05,2.24e+06,692,33.54,5.177e+06,66.5,3.734,46.58,95.84,107.2,48.26,106,6.882e+04,2992
11,2,649,1708,14,7488,6.039e+04,8.043e+05,427.5,25.9,1.859e+06,54,2.556,27.56,54.36,60.41,21.33,109.7,1.751e+04,1051
12,2,811,1685,28,1486,1.028e+04,1.681e+05,176.4,20.46,3.886e+05,43.78,1.559,21.72,14.12,22.36,8.55,127.7,4908,409.1
13,2,1279,1432,20,379,847,2.201e+04,50.63,14.61,5.087e+04,14.32,0.4797,11.34,21.12,17.96,10.88,83.89,1739,206.1
14,2,1281,1221,57,4161,1.292e+04,5.476e+05,197.8,14.24,1.265e+06,43.9,2.093,36.1,81.61,86.46,43.94,152.5,2.85e+04,1598
15,2,1348,1341,68,870,4507,1.187e+05,116.8,14.03,2.743e+05,30.45,1.058,19.8,27.05,33.24,3.148,130.2,4731,364.3
16,2,624,1657,39,1.821e+04,7.335e+04,1.041e+06,471.2,21.15,2.406e+06,30.47,1.277,35.78,80.42,85.4,30.13,38.16,5.124e+04,2765
17,2,1378,1401,36,883,2044,6.15e+04,78.66,12.77,1.421e+05,16.61,0.6272,19.58,33.38,37.64,11,84.65,4901,418.1
18,2,1413,1491,29,178,364,1.422e+04,33.19,12.23,3.287e+04,11.4,0.3933,16.1,10.31,11.33,3.463,51.87,1492,197.1
