ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,WCO21,errWCO21,COmax,xcomass,vel disp,err vel disp,ellipse a,ellipse b,ellipse R,ellipse errR,xcoalphavir,area,perim
40,2,1138,597,61,1838,6597,1.434e+05,141.3,17.01,3.314e+05,30.21,1.24,21.86,39.26,44.24,14.56,141.1,7855,669
41,2,577,1863,42,2.335e+04,1.711e+05,2.185e+06,719.6,21.15,5.05e+06,57.87,2.458,86.52,71.16,126.3,30.49,97.02,5.41e+04,1878
42,2,1357,441,37,1.099e+04,2.814e+04,4.556e+05,291.8,20.24,1.053e+06,21.97,0.9279,104.1,25.88,82.52,70.93,43.83,3.284e+04,2025
43,2,1108,487,43,9406,4.552e+04,7.627e+05,371.2,19.56,1.763e+06,41.07,1.8,32.19,54.14,65.53,13.23,72.61,3.29e+04,2147
44,2,1007,1056,37,318,961,4.179e+04,53.93,12.27,9.657e+04,15.01,0.5845,23.48,14.65,24.47,7.615,66.1,3137,274.8
45,2,634,1802,34,1837,5484,9.119e+04,128.8,18.81,2.107e+05,18,0.6987,24.29,18.76,29.9,6.623,53.26,5719,540.5
46,2,998,1224,45,1422,2354,3.286e+05,84.41,11.39,7.595e+05,28.01,1.368,37.52,53.35,70.56,18.19,84.43,3.876e+04,2410
47,2,1120,978,38,727,1302,1.388e+05,62.78,11.7,3.208e+05,16.25,0.5685,35.46,58,71.58,18.08,68.27,1.585e+04,922.8
48,2,1220,1609,23,652,972,6.309e+04,54.24,10.97,1.458e+05,18.04,0.6613,26.16,18.37,30.98,9.109,80.12,5962,468.9
49,2,1143,642,48,7740,2.355e+04,8.182e+05,267,15.07,1.891e+06,37.96,1.694,45.57,76.87,94.58,33.16,83.47,3.923e+04,1792
50,2,1199,1034,39,270,353,9.401e+04,32.69,10.97,2.172e+05,17.03,0.7202,69.88,23.33,63.23,19.73,97.81,1.349e+04,1027
51,2,1460,1987,61,407,872,4.355e+04,51.37,14.57,1.006e+05,13.76,0.6088,14.04,36.16,32.11,24.7,69.99,4178,415.1
52,2,1093,799,45,3516,6416,5.548e+05,139.4,13.04,1.282e+06,36.61,1.682,78.85,35.26,83.88,25.61,101.5,3.249e+04,1431
53,2,1444,1895,57,799,1665,9.416e+04,70.99,12.99,2.176e+05,15.06,0.5954,51.08,24.42,54.64,18.47,65.95,1.234e+04,1129
54,2,767,972,51,557,846,3.764e+04,50.6,13.27,8.699e+04,9.952,0.3666,16.05,37.57,35.82,15.48,47.23,3378,316.6
55,2,576,1488,40,4528,1.041e+04,2.577e+05,177.5,14.95,5.956e+05,35.2,1.694,41.05,102.1,103.8,32.95,250.1,2.153e+04,1278
56,2,1124,1307,63,113,114,2.819e+05,18.58,9.668,6.514e+05,42.32,1.763,116.1,37.11,105.2,49.54,335,2.865e+04,1448
57,2,1376,1454,45,60,60,6.417e+04,13.48,9.489,1.483e+05,20.18,0.8145,61.79,15.51,47.15,46.56,150,7053,630.1
