ncl,cltype,maxpix x,maxpix y,maxpix v,ra dec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
154,1,1156,669,52,12h01m55.3708s -18d53m11.0745s,345,7,891,4.783e+05,18.11,2.8320308,8.836e+06,8.836e+05,16.98113208,0.8,28.2,0.7362,46.4,42.01,69.57,20.25,2.35e+04,1517,581.1,58.57,1.224e+07,1.077e+07,7.252,2.263
155,2,1074,790,47,12h01m55.2514s -18d53m11.1445s,345,7,7,6.312e+04,11.22,1.9693666,1.166e+06,1.166e+05,16.98113208,0.8,20.4,0.8891,61.07,23.62,59.18,27.49,6999,764.5,106,10.89,1.373e+06,1.922e+06,24.46,11.81
156,2,599,1524,40,12h01m54.5274s -18d53m11.2426s,2,,,2287,11.15,1.0562371,6.219e+04,6219,25,0.8,5.266,0.2124,12.18,7.553,nan,9.014,709.1,158.3,nan,nan,nan,nan,nan,nan
157,2,1156,835,52,12h01m55.207s -18d53m11.0745s,345,,,1.117e+05,11.15,1.8747313,2.063e+06,2.063e+05,16.98113208,0.8,33.6,1.626,13.34,32.54,28.92,17.56,9565,955.7,785,92.77,5.646e+07,1.031e+08,18.34,11.42
158,0,991,910,47,12h01m55.1331s -18d53m11.1446s,345,,,3474,11.15,1.1483356,9.448e+04,9448,25,0.8,2.792,0.1759,6.203,12.26,nan,4.647,1365,355.4,nan,nan,nan,nan,nan,nan
159,0,950,1320,43,12h01m54.7286s -18d53m11.2006s,2,,,9372,11.15,1.5703604,2.549e+05,2.549e+04,25,0.8,8.57,0.4818,24.32,5.988,8.639,33.51,2,370.3,1087,1469,1.703e+07,1.981e+08,2.882,11.19
160,0,1384,1469,46,12h01m54.5816s -18d53m11.1586s,2,,,1.948e+04,11.15,1.1702754,5.298e+05,5.298e+04,25,0.8,13.43,0.5594,15.45,16.77,19.36,9.886,2814,286.7,450.1,57.41,7.724e+06,1.188e+07,7.63,4.022
161,2,565,1732,44,12h01m54.3222s -18d53m11.1866s,1,14,14,1.42e+04,11.29,2.166386,4.072e+05,4.072e+04,26.36363636,0.8,7.449,0.4494,12.14,15.04,13.13,7.643,1409,244.9,752.4,125.2,5.859e+06,1.028e+07,2.072,1.249
162,2,570,1784,44,12h01m54.2709s -18d53m11.1866s,1,486,878,3.96e+04,18.03,4.917437,1.136e+06,1.136e+05,26.36363636,0.8,9.03,0.24,34.68,8.748,22.17,18.81,1793,334.5,735.6,112,4.983e+06,1.27e+07,1.843,1.578
163,0,1589,899,47,12h01m55.1439s -18d53m11.1446s,345,,,2.569e+04,11.15,1.5748519,6.988e+05,6.988e+04,25,0.8,10.87,0.5507,35.55,12.81,29.89,15.06,4239,489.8,249,27.91,1.815e+06,2.755e+06,5.855,3.066
164,0,866,1460,47,12h01m54.5905s -18d53m11.1446s,2,,,1.982e+04,11.15,1.4222096,5.391e+05,5.391e+04,25,0.8,15.25,0.5944,19.07,9.034,12.04,16.03,3081,462.9,1184,410.3,4.214e+07,1.684e+08,6.016,8.047
165,2,1153,363,53,12h01m55.6726s -18d53m11.0604s,345,408,483,1.26e+05,15.32,2.4869926,2.328e+06,2.328e+05,16.98113208,0.8,42.85,2.779,13.41,42.77,34.72,23.18,4428,480.8,614.8,70.98,5.99e+07,1.204e+08,31.71,21.8
166,2,1129,514,52,12h01m55.5237s -18d53m11.0745s,345,412,421,8.874e+04,14.85,2.8651774,1.639e+06,1.639e+05,16.98113208,0.8,22.8,1.361,8.253,14.58,2.778,37.35,6098,549.5,6.765e+04,9.827e+05,2.331e+1,9.406e+11,1.02,13.71
167,1,1156,669,52,12h01m55.3708s -18d53m11.0745s,345,528,649,3.006e+05,16.51,2.8320308,5.554e+06,5.554e+05,16.98113208,0.8,23.89,0.6385,38.49,42.85,63.62,17.71,1.512e+04,1117,436.8,44.05,7.22e+06,6.086e+06,7.575,2.277
168,2,1102,875,46,12h01m55.1676s -18d53m11.1586s,345,,,5431,11.15,1.1929448,1.477e+05,1.477e+04,25,0.8,5.07,0.2428,5.831,9.58,nan,1.733,1061,176.2,nan,nan,nan,nan,nan,nan
169,2,1153,671,54,12h01m55.3688s -18d53m11.0465s,345,56,56,6.117e+04,11.71,2.5578935,1.13e+06,1.13e+05,16.98113208,0.8,20.35,1.033,21.03,16.55,24.68,5.79,3991,456.9,590.4,61.39,1.824e+07,1.31e+07,10.47,2.875
170,2,1333,1316,50,12h01m54.7326s -18d53m11.1026s,2,,,6702,11.15,1.0827767,1.823e+05,1.823e+04,25,0.8,15.6,0.8064,10.73,7.149,nan,4.852,680.1,137.4,nan,nan,nan,nan,nan,nan
171,0,1013,1515,47,12h01m54.5363s -18d53m11.1446s,2,188,188,2.887e+04,12.93,3.0409958,7.853e+05,7.853e+04,25,0.8,4.435,0.07776,22.45,35.82,42.6,16.23,4234,427.1,137.7,14.26,1.171e+05,1.344e+05,1.236,0.4886
172,2,1070,746,54,12h01m55.2948s -18d53m11.0465s,345,,,5.529e+04,11.15,1.4689689,1.022e+06,1.022e+05,16.98113208,0.8,15.52,0.6315,31.44,18.66,35.22,15.44,7296,940.7,262.1,27.98,3.303e+06,4.366e+06,9.622,4.398
173,2,1168,1252,49,12h01m54.7957s -18d53m11.1166s,2,,,8801,11.15,1.1108156,2.394e+05,2.394e+04,25,0.8,14.6,0.8969,12.21,10.64,5.737,11.57,1155,179.2,2315,2454,1.584e+08,9.591e+08,5.913,11.97
174,0,1200,1267,51,12h01m54.7809s -18d53m11.0886s,2,,,2.657e+04,11.15,1.563525,7.228e+05,7.228e+04,25,0.8,14.03,0.6913,40.85,13.07,33.17,8.17,2671,379.3,209.1,21.42,2.286e+06,1.719e+06,10.47,2.968
175,2,1200,1267,51,12h01m54.7809s -18d53m11.0886s,2,,,1.69e+04,11.15,1.563525,4.596e+05,4.596e+04,25,0.8,9.892,0.3973,18.53,11.58,16.03,10.36,1452,197.1,569.5,89.37,6.404e+06,1.244e+07,3.952,2.604
176,2,1170,588,52,12h01m55.4507s -18d53m11.0745s,345,,,1.742e+04,11.15,1.6226041,3.219e+05,3.219e+04,16.98113208,0.8,12.77,0.4845,7.667,13.42,nan,13.11,2368,352.4,nan,nan,nan,nan,nan,nan
177,0,766,938,50,12h01m55.1054s -18d53m11.1026s,345,13,13,1.835e+04,11.28,2.0405405,4.991e+05,4.991e+04,25,0.8,7.645,0.3926,10.63,23.82,18.95,20.67,2221,277.7,442.6,88.35,2.515e+06,8.24e+06,2.569,2.827
178,0,1031,1345,55,12h01m54.704s -18d53m11.0326s,2,,,9.971e+04,11.15,1.7751895,2.712e+06,2.712e+05,25,0.8,13.32,0.4601,39.18,50.03,69.79,17.11,1.221e+04,1129,177.3,17.82,8.296e+05,6.184e+05,5.284,1.446
