ncl,cltype,maxpix x,maxpix y,maxpix v,radec,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir,ltemass,tex
85,2,1175,479,37,12h01m55.5582s -18d53m11.2839s,345,1709,3949,4.68E+05,109.9,15.292716,4.80E+05,4.80E+04,0.9433962264,0.8,15.73,0.7352,11.95,27.72,23.77,12.99,3811,442,270.5,32.86,5.19E+06,8.54E+06,14.19,7.995,4.28E+05,15.71
86,1,1315,1341,43,12h01m54.7078s -18d53m11.2s,2,3179,3.07E+04,3.77E+06,304.8,28.44041,3.95E+06,3.95E+05,0.9615384615,0.8,67.91,3.147,15.63,26.46,27.97,10.74,7088,561.5,1606,173.6,4.88E+08,5.66E+08,37.85,15.42,3.02E+06,16.1
87,1,1315,1341,43,12h01m54.7078s -18d53m11.2s,2,3337,3.20E+04,3.89E+06,311.4,28.44041,4.07E+06,4.07E+05,0.9615384615,0.8,68.18,3.198,15.74,26.38,28.04,11.49,7441,585.3,1648,179.9,5.03E+08,6.22E+08,37.08,16.02,3.11E+06,15.97
88,2,1315,1341,43,12h01m54.7078s -18d53m11.2s,2,234,2.37E+04,3.17E+06,267.8,28.44041,3.31E+06,3.31E+05,0.9615384615,0.8,46.54,1.486,15.31,22.69,24.66,2.105,5218,415.1,1734,174.3,2.81E+08,7.92E+07,18.68,2.731,2.46E+06,17.11
89,2,1102,1423,31,12h01m54.627s -18d53m11.368s,2,545,1286,1.71E+05,63.38,14.109438,1.79E+05,1.79E+04,0.9615384615,0.8,8.743,0.3867,10.26,16.04,11.16,4.307,1215,197.1,457.8,65.94,5.77E+06,6.73E+06,5.515,2.252,1.86E+05,17.08
90,0,1537,1651,33,12h01m54.402s -18d53m11.34s,1,3665,6836,1.13E+06,144.3,12.51035,1.12E+06,1.12E+05,0.9090909091,0.8,13.72,0.5811,32.16,74.75,77.73,22.12,1.27E+04,1093,59.03,5.938,2.63E+05,2.27E+05,15.11,4.736,1.40E+06,12.24
91,2,1583,1649,34,12h01m54.404s -18d53m11.326s,1,1385,1685,3.37E+05,72.28,9.590035,3.33E+05,3.33E+04,0.9090909091,0.8,12.32,0.5766,14.9,47.85,39.67,29.21,5552,567.4,67.41,7.716,4.75E+05,1.05E+06,20.92,15.67,4.52E+05,11.78
92,2,1537,1651,33,12h01m54.402s -18d53m11.34s,1,228,5151,7.11E+05,125.4,12.51035,7.03E+05,7.03E+04,0.9090909091,0.8,13.59,0.5564,26.31,43.24,51.92,19.66,6457,498.7,82.99,8.495,5.44E+05,6.21E+05,15.8,6.32,8.39E+05,12.72
93,2,572,1722,31,12h01m54.332s -18d53m11.368s,1,452,931,1.09E+05,54.24,13.91473,1.08E+05,1.08E+04,0.9090909091,0.8,6.874,0.2736,8.619,15.46,6.475,11.53,1008,179.2,819.1,680.7,1.10E+07,5.88E+07,3.285,5.864,1.46E+05,15.58
94,1,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,1.61E+04,7.38E+04,1.44E+07,472.8,34.64527,1.48E+07,1.48E+06,0.9433962264,0.8,29.88,1.151,78.17,43.05,92.64,41.72,3.59E+04,2138,548.8,55.46,9.75E+06,1.32E+07,6.477,3.03,3.40E+07,22.78
95,2,1390,683,32,12h01m55.3569s -18d53m11.3539s,345,971,1356,1.27E+05,65.03,10.805809,1.30E+05,1.30E+04,0.9433962264,0.8,5.151,0.1829,18.87,13.72,19.34,6.783,2165,280.7,110.9,12.63,2.80E+05,2.97E+05,4.559,1.694,1.78E+05,13.37
96,2,1067,1279,33,12h01m54.769s -18d53m11.34s,2,2282,7376,7.15E+05,149.8,12.429698,7.48E+05,7.48E+04,0.9615384615,0.8,21.24,1.04,34.61,22.65,41.97,11.19,5088,495.8,135.2,13.76,2.68E+06,2.17E+06,29.32,8.828,7.06E+05,13.68
97,2,1322,1404,33,12h01m54.6457s -18d53m11.34s,2,546,101,1.47E+05,56.4,16.218248,1.54E+05,1.54E+04,0.9615384615,0.8,6.896,0.2775,10.67,13.34,8.127,3.016,1217,191.1,740.5,125.6,7.98E+06,8.95E+06,2.913,1.144,2.25E+05,18.21
98,2,1256,1440,33,12h01m54.6102s -18d53m11.34s,2,62,796,8.78E+04,50.34,11.811618,9.19E+04,9187,0.9615384615,0.8,7.048,0.313,22.54,8.523,14.05,6.93,1382,238.9,148.2,21.53,9.66E+05,1.44E+06,8.795,4.496,1.13E+05,14.94
99,1,1136,407,38,12h01m55.6292s -18d53m11.2699s,345,4615,2.11E+04,4.96E+06,253.1,33.54395,5.09E+06,5.09E+05,0.9433962264,0.8,22.1,0.9238,29.37,39.93,52.81,17.6,1.03E+04,851.1,581.4,59.17,9.91E+06,9.99E+06,5.864,2.098,1.33E+07,26.42
100,2,1425,597,33,12h01m55.4418s -18d53m11.3399s,345,36,473,5.42E+04,39.45,13.718718,5.57E+04,5567,0.9433962264,0.8,nan,nan,9.195,12.52,nan,25.39,802.7,134.4,nan,nan,nan,nan,nan,nan,1.55E+05,15.35
101,2,1419,754,35,12h01m55.2869s -18d53m11.3119s,345,1968,4859,5.11E+05,121.8,11.301414,5.25E+05,5.25E+04,0.9433962264,0.8,10.5,0.4754,29.2,22,37.25,12.61,5135,549.5,120.4,12.48,6.57E+05,6.73E+05,9.068,3.305,3.97E+05,12.91
102,2,1007,1056,37,12h01m54.989s -18d53m11.284s,2,581,2234,3.09E+05,82.98,12.267926,3.23E+05,3.23E+04,0.9615384615,0.8,13.63,0.5702,19.72,13.04,19.22,4.164,192,218,278.1,29.35,4.95E+06,3.28E+06,12.82,3.241,2.64E+05,12.72
103,2,1252,1393,35,12h01m54.6565s -18d53m11.312s,2,486,84,8.04E+04,51.64,10.569618,8.42E+04,8415,0.9615384615,0.8,8.848,0.4131,13.28,8.265,nan,8.951,1084,182.2,nan,nan,nan,nan,nan,nan,1.01E+05,13.57
104,2,1281,1447,35,12h01m54.6033s -18d53m11.312s,2,668,1387,1.51E+05,65.75,12.250657,1.58E+05,1.58E+04,0.9615384615,0.8,10.5,0.4761,21.56,9.065,14.36,16.43,1489,238.9,243.9,63.2,3.45E+06,1.19E+07,11.62,13.38,1.96E+05,14.8
105,1,624,1657,39,12h01m54.3961s -18d53m11.256s,1,2.23E+04,9.25E+04,1.10E+07,529.4,21.148186,1.09E+07,1.09E+06,0.9090909091,0.8,30.44,1.271,36.13,80.6,85.94,30.27,4.98E+04,2783,469.6,47.32,9.33E+06,9.93E+06,8.463,3.179,1.28E+07,15.73
106,2,705,1458,36,12h01m54.5924s -18d53m11.298s,2,2025,6441,6.57E+05,140.1,12.85716,6.88E+05,6.88E+04,0.9615384615,0.8,18.67,0.7793,33.06,19.47,37.29,16.54,4515,462.9,157.4,16.71,2.71E+06,3.63E+06,21.91,10.13,3.08E+05,14.16
107,2,634,1802,34,12h01m54.2531s -18d53m11.326s,1,928,2179,3.28E+05,81.97,18.810411,3.24E+05,3.24E+04,0.9090909091,0.8,8.61,0.3633,18.68,14.94,20.67,5.269,2069,265.8,241.5,25.75,1.60E+06,1.24E+06,5.474,1.568,3.72E+05,18.67
108,2,577,1863,42,12h01m54.1929s -18d53m11.214s,1,5577,1.68E+04,3.03E+06,225.8,21.1537,3.00E+06,3.00E+05,0.9090909091,0.8,26.97,1.392,11.1,25.35,20.81,12.9,1.24E+04,943.7,2205,295.7,1.42E+08,2.65E+08,5.844,3.718,6.67E+06,21.44
109,2,525,1897,38,12h01m54.1594s -18d53m11.2699s,1,1797,6335,1.06E+06,138.9,20.06016,1.05E+06,1.05E+05,0.9090909091,0.8,19.32,0.9068,26.16,15.39,27.45,9.945,4007,346.4,444.7,47.83,1.11E+07,1.22E+07,11.27,4.364,1.15E+06,20.3
110,2,1357,441,37,12h01m55.5956s -18d53m11.2839s,345,4414,1.26E+04,1.67E+06,195.6,20.23933,1.71E+06,1.71E+05,0.9433962264,0.8,15.19,0.6106,51.77,21.03,50.66,32.07,9842,722.7,212.4,22.69,1.78E+06,3.39E+06,7.9,5.103,2.57E+06,17
111,2,1398,529,35,12h01m55.5088s -18d53m11.3119s,345,2358,4566,6.00E+05,118.1,18.37797,6.16E+05,6.16E+04,0.9433962264,0.8,8.244,0.2972,43.47,22.52,47.71,20.2,5258,433,86.18,8.918,2.26E+05,2.89E+05,6.094,2.688,1.65E+06,16.91
112,2,1133,1317,35,12h01m54.7315s -18d53m11.312s,2,597,1756,2.24E+05,73.75,13.613151,2.35E+05,2.35E+04,0.9615384615,0.8,16.01,0.786,10.57,11.64,3.855,6.525,1331,215,5024,6636,6.16E+08,3.13E+09,4.881,8.29,3.01E+05,16.57
113,0,576,1488,40,12h01m54.5628s -18d53m11.242s,2,3874,8967,9.73E+05,165.1,14.94959,1.02E+06,1.02E+05,0.9615384615,0.8,17.78,0.8715,24.32,69.27,64.35,36.61,8638,836.2,78.25,8.096,7.08E+05,1.21E+06,23.14,13.56,4.65E+05,14.77
114,2,576,1488,40,12h01m54.5628s -18d53m11.242s,2,1985,3982,4.71E+05,110.3,14.94959,4.92E+05,4.92E+04,0.9615384615,0.8,16.17,0.8231,26.22,48.1,54.98,12.78,4426,680.9,51.86,5.228,4.54E+05,3.23E+05,33.79,9.217,2.43E+05,15.68
115,2,1440,452,38,12h01m55.5848s -18d53m11.2699s,345,203,4176,5.34E+05,113,15.898261,5.48E+05,5.48E+04,0.9433962264,0.8,10.42,0.4627,22.64,15.9,25.31,8.112,4526,522.6,272.3,29.12,2.15E+06,2.09E+06,5.811,2.018,1.01E+06,16.58
116,2,1131,469,37,12h01m55.568s -18d53m11.2839s,345,1025,2886,7.37E+05,94.13,28.807247,7.56E+05,7.56E+04,0.9433962264,0.8,12.16,0.5416,12.45,25.45,22.95,6.058,2285,259.8,456.9,48.33,5.43E+06,4.36E+06,5.2,1.539,2.41E+06,28.27
117,0,999,817,42,12h01m55.2247s -18d53m11.214s,345,2.83E+04,1.31E+05,1.52E+07,630.7,14.670889,1.56E+07,1.56E+06,0.9433962264,0.8,59.84,2.879,145.7,69.75,162.9,59.66,6.98E+04,3225,187.4,18.79,7.59E+06,8.40E+06,43.23,16.93,1.49E+07,12.74
118,2,999,817,42,12h01m55.2247s -18d53m11.214s,345,3392,1.56E+04,1.60E+06,217.5,14.670889,1.64E+06,1.64E+05,0.9433962264,0.8,24.18,1.069,20.66,39.75,43.12,16.08,7563,516.7,281,29.03,7.02E+06,7.90E+06,17.78,7.042,1.20E+06,14.22
119,0,1103,954,38,12h01m55.0896s -18d53m11.27s,345,6467,1.38E+04,2.26E+06,204.5,13.616856,2.36E+06,2.36E+05,0.9615384615,0.8,15.43,0.6585,85.35,31.43,82.33,46.3,2.52E+04,2114,110.9,11.32,5.91E+05,1.00E+06,9.614,5.552,3.44E+06,12.19
120,1,1103,954,38,12h01m55.0896s -18d53m11.27s,345,4539,1.10E+04,1.40E+06,182.5,13.616856,1.47E+06,1.47E+05,0.9615384615,0.8,15.16,0.6059,54.2,36.43,70.05,23.57,1.39E+04,132,95.07,9.606,5.75E+05,5.85E+05,12.72,4.579,2.35E+06,12.77
121,1,624,1657,39,12h01m54.3961s -18d53m11.256s,1,1.75E+04,6.80E+04,8.66E+06,454,21.148186,8.57E+06,8.57E+05,0.9090909091,0.8,26.14,1.197,35.51,79.63,84.63,31.55,3.90E+04,2335,380.9,38.42,5.67E+06,6.38E+06,7.816,3.101,1.07E+07,16.52
122,1,624,1657,39,12h01m54.3961s -18d53m11.256s,1,1.62E+04,6.12E+04,7.95E+06,430.5,21.148186,7.86E+06,7.86E+05,0.9090909091,0.8,26.13,1.196,34.47,79.26,83.11,26.58,3.61E+04,2365,362.1,36.46,5.48E+06,5.31E+06,8.364,2.905,9.86E+06,16.76
123,1,624,1657,39,12h01m54.3961s -18d53m11.256s,1,1.49E+04,5.61E+04,7.43E+06,412.2,21.148186,7.35E+06,7.35E+05,0.9090909091,0.8,26.06,1.18,34.04,78.94,82.41,27.06,3.33E+04,2201,344.4,34.68,5.23E+06,5.20E+06,8.821,3.132,9.26E+06,17
124,2,1136,407,38,12h01m55.6292s -18d53m11.2699s,345,1581,5887,1.64E+06,134,33.54395,1.69E+06,1.69E+05,0.9433962264,0.8,13.92,0.6293,28.54,17.6,31.89,7.94,3525,364.3,527.5,54.18,5.91E+06,4.48E+06,4.248,1.203,5.08E+06,30.41
125,2,1488,712,38,12h01m55.3283s -18d53m11.2699s,345,2167,517,4.72E+05,125.6,11.356346,4.85E+05,4.85E+04,0.9433962264,0.8,12.17,0.543,32.94,24.42,42.6,12.98,4861,456.9,85.03,8.697,5.44E+05,5.03E+05,15.06,5.013,5.41E+05,13.09
126,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,2.32E+04,1.05E+05,1.09E+07,563.7,13.42594,1.14E+07,1.14E+06,0.9615384615,0.8,57.82,2.729,31.46,70.09,74.26,38.57,5.40E+04,3073,655,66.93,5.43E+07,8.50E+07,25.33,13.61,1.08E+07,12.92
127,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,2.07E+04,9.57E+04,9.91E+06,538.3,13.42594,1.04E+07,1.04E+06,0.9615384615,0.8,57.96,2.759,31.05,69.56,73.46,38.3,4.85E+04,2739,611.8,62.55,5.15E+07,8.09E+07,27.56,14.86,1.00E+07,12.9
128,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,1.40E+04,6.42E+04,6.04E+06,440.9,13.42594,6.32E+06,6.32E+05,0.9615384615,0.8,58.04,2.78,26.91,64.7,65.51,20.55,3.14E+04,1947,468.9,47.37,4.44E+07,4.22E+07,40.43,13.86,5.94E+06,13.34
129,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,1.12E+04,5.00E+04,4.78E+06,389,13.42594,5.00E+06,5.00E+05,0.9615384615,0.8,52.67,2.502,28.82,65.48,68.37,34.71,2.51E+04,1445,340.5,34.89,2.55E+07,3.89E+07,43.93,23.11,4.52E+06,13.56
130,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,1.06E+04,4.57E+04,4.39E+06,372,13.42594,4.60E+06,4.60E+05,0.9615384615,0.8,52.71,2.511,27.82,65.26,66.99,15.48,2.36E+04,1398,326,32.77,2.49E+07,1.76E+07,46.91,12.63,4.16E+06,13.61
131,2,1181,907,37,12h01m55.136s -18d53m11.284s,345,3393,8272,8.00E+05,158.6,13.034801,8.37E+05,8.37E+04,0.9615384615,0.8,15.7,0.7204,28.54,39.43,51.61,12.82,7565,677.9,1,10.11,8.80E+05,6.66E+05,17.6,4.983,6.64E+05,13.66
132,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,1.03E+04,4.21E+04,4.07E+06,357,13.42594,4.26E+06,4.26E+05,0.9615384615,0.8,52.73,2.514,29.32,67.73,70.26,21.57,2.29E+04,1433,274.5,27.68,2.00E+07,1.86E+07,53.14,17.89,3.88E+06,13.66
133,2,1103,954,38,12h01m55.0896s -18d53m11.27s,345,1771,4953,5.18E+05,122.9,13.616856,5.42E+05,5.42E+04,0.9615384615,0.8,10.43,0.4681,30.35,14.54,29.26,13.5,417,394.2,201.5,22.3,1.38E+06,1.92E+06,6.801,3.268,1.17E+06,13.7
134,1,624,1657,39,12h01m54.3961s -18d53m11.256s,1,9869,3.67E+04,5.31E+06,333.5,21.148186,5.25E+06,5.25E+05,0.9090909091,0.8,24.19,1.07,30.38,76.36,76.29,26.67,2.20E+04,1663,287.2,28.99,4.06E+06,4.29E+06,9.851,3.686,6.90E+06,18.13
135,2,1219,536,40,12h01m55.5019s -18d53m11.2419s,345,1607,3748,4.04E+05,107.1,12.939376,4.15E+05,4.15E+04,0.9433962264,0.8,14.12,0.6755,12.93,24.46,22.93,15.19,3583,489.8,251.4,33.27,4.03E+06,8.02E+06,12.76,8.633,4.26E+05,14.72
136,2,1120,978,38,12h01m55.0659s -18d53m11.27s,345,2415,5632,6.37E+05,131,11.697005,6.67E+05,6.67E+04,0.9615384615,0.8,10.49,0.4807,26.09,53.46,58.09,18.67,6453,612.2,62.9,6.376,2.20E+05,2.14E+05,11.11,3.874,8.17E+05,12.72
137,2,1199,1034,39,12h01m55.0107s -18d53m11.256s,345,1483,2344,3.61E+05,84.97,10.972206,3.78E+05,3.78E+04,0.9615384615,0.8,12.17,0.5451,21.88,49.05,50.25,26.4,5086,513.7,47.64,4.993,2.59E+05,4.09E+05,22.81,12.37,4.37E+05,12.07
138,1,624,1657,39,12h01m54.3961s -18d53m11.256s,1,2903,9166,1.53E+06,166.9,21.148186,1.51E+06,1.51E+05,0.9090909091,0.8,13.87,0.6134,42.45,19.37,43.16,27.31,6473,674.9,258.7,28.26,2.13E+06,4.04E+06,6.354,4.109,1.89E+06,20.2
139,2,661,1627,39,12h01m54.4257s -18d53m11.256s,1,1941,6184,1.04E+06,137.3,20.525705,1.03E+06,1.03E+05,0.9090909091,0.8,13.9,0.6188,26.61,17.87,30.77,4.493,4328,519.6,347.1,35.06,4.02E+06,1.84E+06,6.67,1.321,1.26E+06,20.36
140,1,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,3318,1.20E+04,2.81E+06,190.7,34.64527,2.88E+06,2.88E+05,0.9433962264,0.8,16.9,0.6882,24.3,43.75,49.99,13.84,7398,564.4,366.6,37.17,3.86E+06,3.24E+06,5.744,1.754,8.65E+06,26.34
141,2,1028,1380,41,12h01m54.6694s -18d53m11.228s,2,2791,5425,4.80E+05,128.6,9.782208,5.02E+05,5.02E+04,0.9615384615,0.8,12.29,0.5672,37.66,12.38,30.37,8.755,6361,746.6,173.4,18.03,1.59E+06,1.39E+06,10.57,3.37,5.99E+05,12.66
142,2,624,1657,39,12h01m54.3961s -18d53m11.256s,1,638,1698,3.00E+05,72.55,21.148186,2.97E+05,2.97E+04,0.9090909091,0.8,8.666,0.3725,16.15,13.11,15.78,2.754,1423,188.1,379.3,39.96,3.32E+06,1.79E+06,4.625,1.012,4.27E+05,21.09
143,2,452,1828,47,12h01m54.2274s -18d53m11.144s,1,2266,1.09E+04,1.84E+06,181.8,20.428406,1.82E+06,1.82E+05,0.9090909091,0.8,26.31,1.234,46.81,14.69,38.82,31.22,5053,492.8,383.4,45.14,1.26E+07,3.04E+07,17.14,13.99,2.50E+06,20.36
144,2,1059,444,40,12h01m55.5927s -18d53m11.2419s,345,783,2012,5.47E+05,78.83,34.64527,5.61E+05,5.61E+04,0.9433962264,0.8,10.31,0.434,19.2,12.05,17.35,10.42,1746,241.9,593.3,85.54,6.70E+06,1.21E+07,3.808,2.341,2.15E+06,29.75
145,2,755,1506,42,12h01m54.5451s -18d53m11.214s,2,1848,3188,3.47E+05,98.86,12.474182,3.63E+05,3.63E+04,0.9615384615,0.8,12.29,0.5706,20.19,43.21,44.66,18.03,4121,555.5,57.86,5.994,3.61E+05,4.39E+05,21.56,9.184,3.27E+05,14.79
146,2,749,1582,40,12h01m54.4701s -18d53m11.242s,1,608,124,1.25E+05,62.27,12.016376,1.24E+05,1.24E+04,0.9090909091,0.8,10.46,0.469,14.2,8.016,nan,25.6,1356,23,nan,nan,nan,nan,nan,nan,1.53E+05,14.08
147,2,928,1754,41,12h01m54.3004s -18d53m11.228s,1,2601,4355,4.58E+05,115.4,11.847904,4.53E+05,4.53E+04,0.9090909091,0.8,14.06,0.6614,13.13,35.65,30.43,16.03,6555,66,155.6,17.53,1.86E+06,2.95E+06,15.39,8.377,7.03E+05,12.75
148,2,1060,403,40,12h01m55.6331s -18d53m11.2419s,345,119,2308,6.33E+05,84.32,31.16577,6.49E+05,6.49E+04,0.9433962264,0.8,10.51,0.4791,13.88,37.43,32.6,9.504,2653,349.4,194.5,20.14,1.21E+06,1.08E+06,6.425,2.065,2.05E+06,29.97
149,2,1108,487,43,12h01m55.5503s -18d53m11.1999s,345,1976,4743,7.07E+05,120.3,19.560938,7.26E+05,7.26E+04,0.9433962264,0.8,15.64,0.7027,23.15,15.51,25.28,10.19,4406,543.5,361.5,40.07,6.44E+06,7.84E+06,9.865,4.193,1.07E+06,18.54
150,1,1192,915,59,12h01m55.1281s -18d53m10.976s,345,9377,3.35E+04,3.25E+06,318.8,13.42594,3.40E+06,3.40E+05,0.9615384615,0.8,45.6,2.15,16,37.07,35.45,17.91,2.09E+04,1529,860.4,93.57,9.30E+07,1.42E+08,25.14,13.16,3.19E+06,13.67
151,2,998,1224,45,12h01m54.8233s -18d53m11.172s,2,3187,8647,1.44E+06,162.2,11.39136,1.51E+06,1.51E+05,0.9615384615,0.8,17.04,0.7197,25.78,48.51,54.72,23.36,1.14E+04,651,16,16.43,1.57E+06,2.01E+06,12.23,5.46,9.80E+05,12.08
152,2,1221,1325,41,12h01m54.7236s -18d53m11.228s,2,791,2613,2.71E+05,89.63,12.849559,2.84E+05,2.84E+04,0.9615384615,0.8,13.75,0.5917,19.38,12.61,18.31,4.583,1764,241.9,269.3,29.1,5.12E+06,3.91E+06,14.14,4.001,4.25E+05,14.32
153,2,608,1711,42,12h01m54.3429s -18d53m11.214s,1,1558,3887,6.73E+05,109,21.053814,6.66E+05,6.66E+04,0.9090909091,0.8,15.89,0.7605,12.19,29.12,25.06,16.5,3474,394.2,337.5,42.97,6.27E+06,1.24E+07,11.01,7.407,1.13E+06,20.76
154,1,1143,642,48,12h01m55.3974s -18d53m11.1299s,345,1.06E+04,4.64E+04,4.66E+06,374.9,15.072804,4.79E+06,4.79E+05,0.9433962264,0.8,36.41,1.654,37.2,45.59,64.58,22.63,2.36E+04,1493,365.2,37,1.38E+07,1.46E+07,20.72,7.781,5.95E+06,14.01
155,2,1093,799,45,12h01m55.2425s -18d53m11.172s,345,3147,6839,6.86E+05,144.3,13.03947,7.04E+05,7.04E+04,0.9433962264,0.8,22.82,1.08,62.19,25.82,62.71,17.71,7017,761.5,57.03,5.754,8.73E+05,7.49E+05,53.7,16.87,7.77E+05,14
156,2,592,1513,41,12h01m54.5382s -18d53m11.228s,2,399,632,7.43E+04,45.14,13.419288,7.77E+04,7768,0.9615384615,0.8,5.161,0.1852,10.85,13.08,8.047,4.517,889.7,143.3,381.9,88.58,2.33E+06,3.93E+06,3.196,1.837,2.80E+04,15.61
157,2,1152,820,47,12h01m55.2218s -18d53m11.144s,345,4307,1.30E+04,1.32E+06,198.3,12.771668,1.36E+06,1.36E+05,0.9433962264,0.8,35.24,1.692,14.48,41.26,35.61,9.562,9603,940.7,340.4,34.9,2.19E+07,1.79E+07,37.77,11.41,1.37E+06,14.17
158,2,994,910,43,12h01m55.133s -18d53m11.2s,345,769,1687,2.24E+05,72.32,10.73802,2.34E+05,2.34E+04,0.9615384615,0.8,14.08,0.6648,12.81,10.59,6.954,6.411,2346,295.7,1543,632.6,8.10E+07,2.24E+08,6.815,6.353,4.31E+04,12.33
159,2,947,1322,44,12h01m54.7266s -18d53m11.186s,2,316,34,1.00E+05,33.96,8.685049,1.05E+05,1.05E+04,0.9615384615,0.8,8.742,0.387,12.32,30.76,26.3,20.68,2114,328.5,48.34,6.494,2.59E+05,6.12E+05,22.17,17.68,1.15E+05,11.46
160,2,1376,1454,45,12h01m54.5964s -18d53m11.172s,2,532,1048,3.09E+05,57.41,9.489176,3.23E+05,3.23E+04,0.9615384615,0.8,17.14,0.7381,21.24,12.76,20.14,9.528,2818,289.7,253.1,30.96,6.80E+06,9.70E+06,21.25,10.43,2.36E+05,11.15
161,2,565,1725,43,12h01m54.3291s -18d53m11.2s,1,632,1142,1.49E+05,59.84,15.604616,1.48E+05,1.48E+04,0.9090909091,0.8,6.995,0.3002,11.96,11.29,6.812,5.661,1409,244.9,1011,383.8,1.34E+07,3.34E+07,2.618,2.203,1.82E+05,16.83
162,2,563,1787,44,12h01m54.2679s -18d53m11.186s,1,804,1497,2.56E+05,68.23,19.366133,2.53E+05,2.53E+04,0.9090909091,0.8,10.55,0.4862,36.67,11.22,27.87,13.41,1793,334.5,103.7,11.68,7.63E+05,1.11E+06,14.21,7.106,5.71E+05,20.55
163,2,1555,909,44,12h01m55.134s -18d53m11.186s,345,1349,2591,3.43E+05,89.26,9.324197,3.59E+05,3.59E+04,0.9615384615,0.8,14.02,0.6467,43.21,18.75,42.79,27.71,4379,483.8,62.41,6.854,5.28E+05,1.03E+06,27.12,17.95,3.11E+05,12.2
164,2,872,1455,47,12h01m54.5954s -18d53m11.144s,2,707,1607,2.95E+05,70.63,9.251431,3.08E+05,3.08E+04,0.9615384615,0.8,17.62,0.8369,18.17,9.566,12.21,8.579,3081,462.9,658.9,131.5,3.09E+07,6.52E+07,14.23,10.19,2.38E+05,11.82
165,2,1165,393,57,12h01m55.643s -18d53m11.0039s,345,2031,1.05E+04,1.65E+06,178.8,22.59517,1.70E+06,1.70E+05,0.9433962264,0.8,42.46,1.796,13.24,39.19,32.57,25.78,4529,445,509.4,63.05,5.20E+07,1.24E+08,40.06,32.14,1.68E+06,19.29
166,2,1110,531,46,12h01m55.5069s -18d53m11.1579s,345,2737,649,8.65E+05,140.6,15.755111,8.88E+05,8.88E+04,0.9433962264,0.8,23.13,1.145,27.07,14.16,26.5,12.52,6103,546.5,402.5,45.65,1.50E+07,2.13E+07,18.49,9.117,1.15E+06,17.09
167,1,1143,642,48,12h01m55.3974s -18d53m11.1299s,345,6864,2.79E+04,2.98E+06,291,15.072804,3.06E+06,3.06E+05,0.9433962264,0.8,29.57,1.349,34.88,42.46,60.02,18.32,1.53E+04,1081,270.2,27.33,7.25E+06,6.71E+06,19.88,6.637,3.76E+06,14.59
168,2,1110,867,45,12h01m55.1754s -18d53m11.172s,345,488,968,9.50E+04,55.27,11.647061,9.94E+04,9937,0.9615384615,0.8,7.048,0.3165,15.13,8.59,5.758,13.38,1088,179.2,954,1159,1.52E+07,1.06E+08,3.334,7.757,6.57E+04,13.79
169,2,1143,642,48,12h01m55.3974s -18d53m11.1299s,345,179,5899,7.41E+05,134.1,15.072804,7.60E+05,7.60E+04,0.9433962264,0.8,22.79,1.072,13.99,19.8,20.53,6.927,3991,456.9,574.3,64.03,2.68E+07,2.73E+07,16.24,5.916,7.73E+05,16.37
170,2,1337,1318,53,12h01m54.7305s -18d53m11.06s,2,305,1157,1.04E+05,60.22,10.382417,1.09E+05,1.09E+04,0.9615384615,0.8,15.77,0.7352,10.1,7.691,nan,2.306,680.1,137.4,nan,nan,nan,nan,nan,nan,8.01E+04,13.04
171,2,1015,1512,47,12h01m54.5392s -18d53m11.144s,2,873,875,1.87E+05,52.66,9.452649,1.96E+05,1.96E+04,0.9615384615,0.8,5.156,0.1842,20.06,26.56,33.13,13.19,4268,409.1,56.75,6.032,8.39E+04,1.01E+05,5.213,2.172,3.69E+05,11.65
172,2,1040,768,52,12h01m55.2731s -18d53m11.0739s,345,3407,8667,8.16E+05,162.4,12.182454,8.37E+05,8.37E+04,0.9433962264,0.8,17.66,0.8489,21.94,40.92,45.41,16.51,7597,916.8,129.2,13.29,1.63E+06,1.80E+06,19.58,7.619,6.69E+05,13.41
173,2,1171,1248,53,12h01m54.7996s -18d53m11.06s,2,111,15,8.81E+04,24.05,8.627501,9.22E+04,9219,0.9615384615,0.8,13.91,0.6342,14.12,10.19,8.371,7.573,1155,179.2,418.8,142.1,1.78E+07,4.85E+07,20.36,18.62,1.08E+05,10.86
174,0,1207,1267,51,12h01m54.7808s -18d53m11.088s,2,322,576,2.37E+05,43.22,8.668465,2.48E+05,2.48E+04,0.9615384615,0.8,13.86,0.6148,41.53,13.87,34.81,29.91,2671,379.3,65.09,8.099,6.62E+05,1.71E+06,31.26,27.18,3.28E+05,10.98
