ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
28,2,1417,1491,29,2,0,0,5213,11.15,1.45,1.355e+05,1.355e+04,25,0.8,8.188,0.3698,12.79,7.35,nan,9.914,573,110.5,nan,nan,nan,nan,nan,nan
29,2,1106,951,38,345,326,357,4.165e+04,14.35,3.856,1.083e+06,1.083e+05,25,0.8,8.077,0.1754,26.37,10.78,21,15.32,1947,235.9,781.6,112.9,4.472e+06,9.801e+06,1.465,1.081
30,2,1040,1267,39,2,0,0,4.184e+04,11.15,1.763,1.088e+06,1.088e+05,25,0.8,16.31,0.5923,28.57,18.33,32.77,12.43,3998,445,322.5,34.14,4.824e+06,5.523e+06,9.284,3.705
31,2,1313,1318,66,2,0,0,1.734e+04,11.15,1.453,4.508e+05,4.508e+04,25,0.8,18.84,1.099,24.12,9.128,16.48,16.68,1929,271.8,528.1,110.7,2.095e+07,6.368e+07,15.04,15.39
32,2,1186,910,58,345,0,0,1.327e+04,11.15,1.617,3.45e+05,3.45e+04,25,0.8,6.591,0.1414,12.81,17.18,16.47,2.576,1338,200.1,404.9,42.1,1.968e+06,9.478e+05,2.402,0.4577
33,2,508,1904,21,1,38,38,5.695e+04,11.53,2.844,1.562e+06,1.562e+05,26.36,0.8,25.9,2.051,14.62,30.62,29.53,11.25,2874,316.6,569.9,61.1,2.384e+07,2.76e+07,14.69,6.234
34,2,1316,1547,17,2,0,0,7608,11.15,1.901,1.978e+05,1.978e+04,25,0.8,5.318,0.2234,7.103,14.24,nan,13.03,729.1,143.3,nan,nan,nan,nan,nan,nan
35,2,1187,906,40,345,0,0,1.496e+04,11.15,1.405,3.889e+05,3.889e+04,25,0.8,7.533,0.3105,12.9,14.66,13.76,7.175,2410,364.3,653.8,98.98,4.966e+06,7.795e+06,2.325,1.249
36,2,1542,1657,34,1,0,0,2.291e+04,11.15,2.15,6.282e+05,6.282e+04,26.36,0.8,8.004,0.3428,9.545,22.57,16.1,13.68,2818,328.5,771.7,144.6,5.658e+06,1.445e+07,1.901,1.635
37,2,1404,525,35,345,916,1184,4.741e+04,19.87,4.253,8.373e+05,8.373e+04,16.98,0.8,6.503,0.2315,34.16,14.87,32.13,7.583,2439,319.6,258.2,26.44,6.262e+05,4.5e+05,1.88,0.5001
