ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
70,2,1349,1372,27,2,0,0,4671,11.15,1.157,1.215e+05,1.215e+04,25,0.8,5.205,0.1986,14.85,7.683,nan,8.518,662.2,119.5,nan,nan,nan,nan,nan,nan
71,2,1339,1510,28,2,0,0,4881,11.15,1.295,1.269e+05,1.269e+04,25,0.8,5.397,0.2434,8.217,8.902,nan,1.858,909.7,182.2,nan,nan,nan,nan,nan,nan
72,2,1385,1546,28,2,0,0,9895,11.15,1.165,2.573e+05,2.573e+04,25,0.8,10.43,0.5641,17.24,10.73,13.37,7.52,1866,262.8,457.9,73.71,6.86e+06,1.162e+07,6.547,3.806
73,2,662,1643,28,1,402,574,2.189e+04,15.98,3.665,6.001e+05,6.001e+04,26.36,0.8,6.264,0.1663,7.653,16.4,4.63,23.05,920.9,203.1,8912,2.877e+04,1.391e+08,2.078e+09,0.3506,1.746
74,1,577,1867,42,1,5450,1.442e+04,1.29e+06,58.46,7.977,3.538e+07,3.538e+06,26.36,0.8,30.19,1.018,91.52,65.84,124.9,44.09,2.846e+04,1771,721.3,72.39,9.696e+06,1.033e+07,3.729,1.391
75,1,577,1867,42,1,4623,1.295e+04,9.628e+05,55.53,7.977,2.64e+07,2.64e+06,26.36,0.8,25.77,1.244,34.29,68.45,76.76,23.09,1.869e+04,937.7,1426,143.6,2.272e+07,2.075e+07,2.236,0.7411
76,1,577,1867,42,1,4717,1.313e+04,1.06e+06,55.9,7.977,2.906e+07,2.906e+06,26.36,0.8,25.6,1.292,35.49,68.08,77.93,40.12,2.282e+04,1287,1523,155.3,2.36e+07,3.66e+07,2.036,1.087
77,2,1142,1396,31,2,0,0,8144,11.15,1.44,2.117e+05,2.117e+04,25,0.8,9.289,0.5837,13.6,9.009,3.678,24.33,958.8,164.3,4981,2.688e+04,2.152e+08,4.271e+09,1.736,11.49
78,2,1219,1460,28,2,0,0,1.708e+04,11.15,1.971,4.441e+05,4.441e+04,25,0.8,6.813,0.2914,26.31,8.49,16.74,21.51,1675,289.7,504.6,126.7,2.577e+06,9.942e+06,2.026,2.617
79,1,1353,1477,32,2,100,100,2.251e+05,12.13,2.622,5.854e+06,5.854e+05,25,0.8,17.6,0.6649,22.68,54.12,54.16,18.68,1.124e+04,967.6,635.2,64.67,6.691e+06,6.976e+06,3.319,1.218
80,1,1353,1477,32,2,100,100,1.823e+05,12.13,2.622,4.741e+06,4.741e+05,25,0.8,18.33,0.7962,19.22,52.94,48.77,16.84,8790,686.9,634.4,64.85,8.052e+06,8.408e+06,4.004,1.481
81,1,1181,1481,34,2,0,0,3.426e+04,11.15,1.756,8.909e+05,8.909e+04,25,0.8,18.91,1.113,35.54,14.01,31.71,14.84,3449,367.3,282.1,30.85,5.861e+06,8.281e+06,14.74,7.268
82,2,1417,1491,29,2,0,0,1.009e+04,11.15,1.45,2.624e+05,2.624e+04,25,0.8,8.792,0.3213,15.46,10.36,10.64,8.482,1044,155.3,738.5,181.8,9.886e+06,2.369e+07,3.628,2.928
83,2,1181,1505,28,2,0,0,1.126e+04,11.15,1.406,2.929e+05,2.929e+04,25,0.8,7.212,0.3633,11.25,9.732,nan,6.237,1365,194.1,nan,nan,nan,nan,nan,nan
84,2,1116,1451,28,2,0,0,1.072e+04,11.15,1.509,2.787e+05,2.787e+04,25,0.8,7.497,0.455,14.31,10.35,9.015,9.606,1554,244.9,1092,402.2,1.254e+07,4.013e+07,2.105,2.268
85,2,1353,1477,32,2,76,76,4.175e+04,11.9,2.622,1.085e+06,1.085e+05,25,0.8,11.14,0.4523,14.86,28.12,28.18,17.07,2651,337.5,435.1,51.78,3.529e+06,6.431e+06,3.73,2.311
86,2,1169,1476,30,2,0,0,1.407e+04,11.15,1.497,3.659e+05,3.659e+04,25,0.8,8.052,0.3128,27.09,9.84,19.85,5.18,1991,277.7,295.5,31.76,1.777e+06,1.409e+06,4.074,1.181
87,1,1440,616,34,345,868,1552,1.653e+05,21.88,4.557,2.919e+06,2.919e+05,16.98,0.8,15.13,0.5866,12.37,17.84,16.52,5.082,7144,740.6,3404,389.9,8.691e+07,8.095e+07,1.501,0.4992
86,2,1169,1476,30,2,0,0,1.407e+04,11.15,1.497,3.659e+05,3.659e+04,25,0.8,8.052,0.3128,27.09,9.84,19.85,5.18,1991,277.7,295.5,31.76,1.777e+06,1.409e+06,4.074,1.181
87,1,1440,616,34,345,868,1552,1.653e+05,21.88,4.557,2.919e+06,2.919e+05,16.98,0.8,15.13,0.5866,12.37,17.84,16.52,5.082,7144,740.6,3404,389.9,8.691e+07,8.095e+07,1.501,0.4992
88,1,1312,1346,41,2,0,0,4.837e+05,11.15,1.851,1.258e+07,1.258e+06,25,0.8,85.16,5.095,30.34,32.94,48.28,12.51,1.3e+04,857.1,1717,173.9,4.751e+08,3.767e+08,32.25,9.752
89,2,1383,1385,32,2,0,0,5.442e+04,11.15,2.312,1.415e+06,1.415e+05,25,0.8,14.68,0.5383,21.19,30.5,37.39,12.84,3815,382.3,322.1,33.41,3.42e+06,3.549e+06,6.596,2.408
90,1,1054,442,41,345,1.146e+04,4.057e+04,2.968e+06,96.92,8.997,5.241e+07,5.241e+06,16.98,0.8,34.67,1.523,70.25,48.01,92.74,32,5.467e+04,2628,1940,195.2,4.631e+07,4.833e+07,2.464,0.9112
91,1,1054,442,41,345,1.135e+04,4.018e+04,2.832e+06,96.46,8.997,5.001e+07,5.001e+06,16.98,0.8,31.86,1.016,71.37,49.03,94.53,30.46,4.973e+04,2386,1781,179.1,3.524e+07,3.432e+07,2.222,0.7631
92,1,1054,442,41,345,1.084e+04,3.891e+04,2.567e+06,94.95,8.997,4.533e+07,4.533e+06,16.98,0.8,30.64,0.9323,70.72,47.34,92.39,26.25,4.555e+04,2362,1690,169.8,3.164e+07,2.722e+07,2.216,0.6809
93,1,1054,442,41,345,1.05e+04,3.812e+04,2.341e+06,93.99,8.997,4.134e+07,4.134e+06,16.98,0.8,24.57,0.4584,70.62,47.08,92.06,27.22,4.018e+04,2323,1553,156,1.875e+07,1.675e+07,1.557,0.4893
94,2,1176,471,37,345,0,0,1.591e+04,11.15,2.019,2.809e+05,2.809e+04,16.98,0.8,10.17,0.6516,15.65,10.51,11.15,10.16,2060,289.7,719.4,190.5,1.229e+07,3.367e+07,4.753,4.4
95,2,1440,616,34,345,659,1231,6.787e+04,20.14,4.557,1.199e+06,1.199e+05,16.98,0.8,14.01,0.48,9.997,15.27,9.657,4.068,1893,274.8,4091,673.8,1.532e+08,1.945e+08,1.832,0.803
96,1,1312,1346,41,2,0,0,4.162e+05,11.15,1.851,1.082e+07,1.082e+06,25,0.8,83.31,5.264,38.38,31.93,54.11,14.25,1.132e+04,698.8,1177,118.9,2.78e+08,2.241e+08,40.2,12.41
97,1,1312,1346,41,2,0,0,3.823e+05,11.15,1.851,9.94e+06,9.94e+05,25,0.8,83.04,5.227,27.02,38.7,49.53,11.91,1.088e+04,695.8,1290,130.3,3.308e+08,2.446e+08,39.8,11.51
98,1,1312,1346,41,2,0,0,2.353e+05,11.15,1.851,6.117e+06,6.117e+05,25,0.8,77.35,5.402,19.49,32.29,36.78,8.588,7088,561.5,1439,146.5,4.312e+08,3.11e+08,41.67,12.08
99,1,1312,1346,41,2,0,0,2.431e+05,11.15,1.851,6.321e+06,6.321e+05,25,0.8,77.38,5.355,19.53,32.54,37,5.768,7441,585.3,1470,148.1,4.38e+08,2.181e+08,40.59,9.385
100,1,1312,1346,41,2,0,0,2.299e+05,11.15,1.851,5.978e+06,5.978e+05,25,0.8,68.48,4.179,19.52,31.62,36.34,12.2,6836,540.5,1441,149.5,3.426e+08,3.493e+08,33.02,12.25
101,2,1312,1346,41,2,0,0,1.894e+05,11.15,1.851,4.925e+06,4.925e+05,25,0.8,47.98,2.191,19.14,29.28,34.21,6.064,5213,418.1,1339,135.5,1.66e+08,9.109e+07,18.52,4.131
102,2,1112,1413,33,2,0,0,1.455e+04,11.15,1.962,3.784e+05,3.784e+04,25,0.8,7.361,0.2885,18.38,11.1,15.14,9.023,1215,197.1,525.7,81.37,3.467e+06,6.215e+06,2.51,1.53
103,2,1592,1620,32,1,0,0,1.358e+04,11.15,1.817,3.725e+05,3.725e+04,26.36,0.8,8.559,0.3336,8.319,18.85,10.21,5.968,2236,367.3,1137,226,1.503e+07,2.642e+07,2.326,1.391
104,1,1542,1657,34,1,0,0,5.397e+04,11.15,2.15,1.48e+06,1.48e+05,26.36,0.8,11.67,0.432,18.41,33.14,36.09,17,5512,501.7,361.7,38.84,2.513e+06,3.564e+06,3.845,1.873
105,2,1542,1657,34,1,0,0,4.543e+04,11.15,2.15,1.246e+06,1.246e+05,26.36,0.8,11.46,0.4268,12.82,31.45,27.49,19.54,4555,403.2,524.8,66.43,4.615e+06,9.86e+06,3.354,2.421
106,1,1054,442,41,345,1.007e+04,3.735e+04,2.188e+06,93.05,8.997,3.865e+07,3.865e+06,16.98,0.8,23.97,0.4466,71.03,46.6,91.85,28.58,3.584e+04,2141,1458,146.6,1.681e+07,1.579e+07,1.582,0.5204
107,1,1054,442,41,345,8932,3.474e+04,1.877e+06,89.79,8.997,3.315e+07,3.315e+06,16.98,0.8,21.69,0.5345,69.74,46.95,91.34,26.38,2.726e+04,1511,1265,127.1,1.2e+07,1.048e+07,1.501,0.4648
108,1,1054,442,41,345,8770,3.411e+04,1.815e+06,88.99,8.997,3.205e+07,3.205e+06,16.98,0.8,21.85,0.541,69.79,46.94,91.36,25.31,2.578e+04,1457,1222,122.7,1.176e+07,9.862e+06,1.576,0.4706
109,2,1040,1267,39,2,0,0,5.797e+04,11.15,1.763,1.507e+06,1.507e+05,25,0.8,18,0.5776,30.68,20.59,36.87,14.47,5088,495.8,352.9,37.05,5.712e+06,6.761e+06,9.176,3.764
110,2,1325,1415,32,2,0,0,1.703e+04,11.15,2.063,4.428e+05,4.428e+04,25,0.8,6.912,0.3037,8.476,20.14,11.87,8.338,1217,191.1,1001,204.1,7.423e+06,1.568e+07,1.483,1.061
111,2,1235,1449,32,2,0,0,9030,11.15,1.855,2.348e+05,2.348e+04,25,0.8,7.667,0.5005,24.2,7.835,13.81,11.3,1382,238.9,391.7,79.9,3.071e+06,7.558e+06,4.005,3.343
112,1,1131,407,38,345,4061,1.638e+04,8.037e+05,62.18,8.303,1.419e+07,1.419e+06,16.98,0.8,19,0.5134,30.82,41.28,55.24,16.48,1.029e+04,851.1,1481,150,1.783e+07,1.609e+07,1.628,0.5196
113,2,1426,592,33,345,173,173,9444,12.8,3.003,1.668e+05,1.668e+04,16.98,0.8,nan,nan,13.76,10.86,9.194,6.002,697.9,125.4,628,147.8,nan,nan,nan,nan
