ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
183,2,592,1513,41,2,392,622,7.323e+04,44.8,13.42,7.92e+04,7920,1.04,0.8,5.162,0.1854,10.81,12.96,7.74,5.703,874.1,143.3,420.9,127.3,2.669e+06,5.908e+06,3.015,2.252
184,2,928,1754,41,1,311,404,7.053e+04,36.7,11.85,8.069e+04,8069,1.1,0.8,5.119,0.1762,13.96,10.56,8.906,7.618,1041,167.2,323.8,98.75,1.755e+06,4.508e+06,3.35,2.894
185,2,577,1863,42,1,1151,2021,4.123e+05,79,21.15,4.716e+05,4.716e+04,1.1,0.8,12.37,0.5852,10.31,31.58,23.46,18.56,2566,364.3,272.9,38.82,3.278e+06,7.796e+06,8.813,7.079
186,1,1152,820,47,345,3779,9078,1.322e+06,166.1,12.77,1.457e+06,1.457e+05,1.06,0.8,35.24,1.692,14.48,41.26,35.61,9.562,9603,940.7,365.6,37.49,2.349e+07,1.92e+07,35.17,10.63
187,2,565,1725,43,1,590,1077,1.413e+05,58.17,15.6,1.617e+05,1.617e+04,1.1,0.8,6.992,0.2994,11.79,11.25,6.336,5.547,1316,209.1,1282,546.8,1.822e+07,4.792e+07,2.219,1.964
188,2,563,1787,44,1,804,1497,2.557e+05,68.23,19.37,2.926e+05,2.926e+04,1.1,0.8,10.55,0.4862,36.67,11.22,27.87,13.41,1793,334.5,119.9,13.51,8.829e+05,1.28e+06,12.29,6.144
189,2,1152,820,47,345,1462,4510,4.874e+05,117.4,12.77,5.373e+05,5.373e+04,1.06,0.8,24.75,1.2,11.53,21.04,18.18,11.66,3262,385.3,517.5,75.36,3.213e+07,6.199e+07,24.01,15.76
190,1,994,910,43,345,167,277,1.115e+05,31.03,10.74,1.206e+05,1.206e+04,1.04,0.8,12.43,0.6027,11.81,7.297,nan,7.263,1295,227,nan,nan,nan,nan,nan,nan
191,2,994,910,43,345,119,119,2.985e+04,22.01,10.74,3.229e+04,3229,1.04,0.8,5.1,0.1714,6.465,7.977,nan,0.9317,495,110.5,nan,nan,nan,nan,nan,nan
192,2,1269,1394,42,2,0,0,1.418e+04,11.15,8.439,1.533e+04,1533,1.04,0.8,nan,nan,12.97,9.466,3.76,4.873,399.1,92.58,345.2,358.7,nan,nan,nan,nan
193,2,1376,1454,45,2,60,60,1.944e+05,17.49,9.489,2.102e+05,2.102e+04,1.04,0.8,12.35,0.5835,19.67,10.83,15.89,12.8,2078,244.9,265.1,48.26,4.69e+06,1.135e+07,13.36,10.92
194,2,620,1622,42,1,338,384,5.279e+04,35.87,14.48,6.039e+04,6039,1.1,0.8,nan,nan,11.9,6.037,nan,2.176,753.6,140.4,nan,nan,nan,nan,nan,nan
195,2,948,1761,43,1,230,230,4.115e+04,28.64,10.84,4.708e+04,4708,1.1,0.8,nan,nan,16.77,10.63,12.67,8.131,862.9,155.3,93.31,16.97,nan,nan,nan,nan
196,1,1165,393,57,345,1650,7906,1.308e+06,155.1,22.6,1.442e+06,1.442e+05,1.06,0.8,41.01,1.77,12.48,38.06,30.75,22.76,3679,397.2,485.7,59.91,4.893e+07,1.089e+08,41.52,31.22
197,2,1110,531,46,345,2737,6490,8.654e+05,140.6,15.76,9.541e+05,9.541e+04,1.06,0.8,23.13,1.145,27.07,14.16,26.5,12.52,6103,546.5,432.3,49.03,1.608e+07,2.291e+07,17.22,8.488
198,1,1143,642,48,345,5521,1.958e+04,2.498e+06,243.7,15.07,2.753e+06,2.753e+05,1.06,0.8,28.06,1.324,30.16,43.7,56.33,22.46,1.304e+04,863.1,276.2,28.24,7.111e+06,8.563e+06,18.65,7.869
199,2,1110,867,45,345,273,396,9.499e+04,36.37,11.65,1.027e+05,1.027e+04,1.04,0.8,7.048,0.3165,15.13,8.59,5.758,13.38,1088,179.2,986.4,1198,1.568e+07,1.093e+08,3.225,7.503
200,2,1020,482,44,345,227,227,4.017e+04,28.48,18.9,4.428e+04,4428,1.06,0.8,nan,nan,10.13,15.46,10.18,10.34,506.1,104.5,136.1,42.98,nan,nan,nan,nan
201,2,452,1828,47,1,592,1290,2.476e+05,63.47,20.43,2.833e+05,2.833e+04,1.1,0.8,10.48,0.4697,7.528,12.72,nan,10.11,1320,191.1,nan,nan,nan,nan,nan,nan
202,2,1143,642,48,345,1790,5899,7.406e+05,134.1,15.07,8.165e+05,8.165e+04,1.06,0.8,22.79,1.072,13.99,19.8,20.53,6.927,3991,456.9,616.8,68.77,2.874e+07,2.936e+07,15.12,5.508
203,1,1143,642,48,345,2437,7191,8.864e+05,148,15.07,9.771e+05,9.771e+04,1.06,0.8,24.31,1.099,14.43,19.9,21.18,6.451,5434,624.2,693.5,75.53,3.565e+07,3.293e+07,14.83,4.941
204,2,995,910,47,345,147,158,5.333e+04,24.55,10.42,5.769e+04,5769,1.04,0.8,7.028,0.3096,6.907,12.72,nan,10.91,996.7,170.2,nan,nan,nan,nan,nan,nan
205,2,1154,363,50,345,373,1109,2.005e+05,59,20.15,2.21e+05,2.21e+04,1.06,0.8,14.07,0.6617,9.547,7.471,nan,1.986,831.7,152.3,nan,nan,nan,nan,nan,nan
206,2,1123,470,46,345,231,231,3.45e+04,28.7,15.58,3.803e+04,3803,1.06,0.8,nan,nan,12.57,12.73,10.61,1.955,515.1,101.5,107.6,12.13,nan,nan,nan,nan
207,2,1186,670,49,345,1770,3484,3.942e+05,103.3,12.73,4.345e+05,4.345e+04,1.06,0.8,14.03,0.6512,51.29,7.988,27.79,44.51,3947,597.3,179.1,35.78,2.336e+06,1.123e+07,14.57,23.43
208,2,1337,1318,53,2,105,238,1.043e+05,29.06,10.38,1.129e+05,1.129e+04,1.04,0.8,15.77,0.7352,10.1,7.691,nan,2.306,680.1,137.4,nan,nan,nan,nan,nan,nan
209,1,1015,1512,47,2,113,113,1.116e+05,21.59,9.453,1.208e+05,1.208e+04,1.04,0.8,5.172,0.1879,21.06,26,33.72,10.75,2776,382.3,33.81,3.514,4.94e+04,4.766e+04,8.651,2.959
210,2,1015,1512,47,2,45,45,4.273e+04,16.14,9.453,4.621e+04,4621,1.04,0.8,nan,nan,10.3,29.39,22.13,20.25,1115,218,30.03,4.783,nan,nan,nan,nan
211,2,1010,1489,47,2,68,68,4.606e+04,18.17,9.389,4.982e+04,4982,1.04,0.8,nan,nan,10.67,23.98,19.13,11.52,1137,185.2,43.31,5.955,nan,nan,nan,nan
212,2,1040,768,52,345,1346,2577,5.129e+05,89.02,12.18,5.654e+05,5.654e+04,1.06,0.8,17.62,0.8405,28.54,15.2,28.92,14.6,4410,471.9,215.2,24.29,4.256e+06,6.472e+06,18.39,9.625
213,2,1207,1267,51,2,0,0,8.896e+04,11.15,8.668,9.622e+04,9622,1.04,0.8,10.26,0.4218,13.12,9.606,4.766,11.92,1017,170.2,1348,2126,5.487e+07,4.117e+08,6.041,15.13
214,2,1180,600,54,345,683,1284,1.453e+05,63.33,12.68,1.602e+05,1.602e+04,1.06,0.8,12.35,0.5879,7.515,14.64,nan,16.14,1523,235.9,nan,nan,nan,nan,nan,nan
215,2,1147,799,49,345,255,255,2.923e+04,29.94,12.09,3.223e+04,3223,1.06,0.8,nan,nan,11.32,15.7,12.62,6.502,568.6,116.5,64.36,10.17,nan,nan,nan,nan
216,2,767,972,51,345,557,846,1.31e+05,51.82,13.27,1.417e+05,1.417e+04,1.04,0.8,6.852,0.2693,8.529,20.38,12.21,12.87,1496,235.9,302.6,84.01,2.143e+06,6.783e+06,4.684,4.975
217,2,1171,1248,53,2,0,0,3.429e+04,11.15,8.628,3.709e+04,3709,1.04,0.8,7.084,0.328,7.105,9.372,nan,2.67,539.6,113.5,nan,nan,nan,nan,nan,nan
218,1,1027,1372,55,2,12,12,5.117e+05,12.67,8.868,5.534e+05,5.534e+04,1.04,0.8,17.74,0.865,39.33,52.75,71.92,18.15,7956,1036,34.06,3.425,2.746e+05,2.115e+05,47.38,13.67
219,2,1077,1342,51,2,1,1,1.18e+05,11.28,8.699,1.277e+05,1.277e+04,1.04,0.8,10.61,0.5006,16.31,30.59,31.75,12.56,2517,453.9,40.32,4.305,2.635e+05,3.149e+05,32.43,13.59
220,1,1281,1221,57,2,4161,1.292e+04,4.914e+06,198.1,14.24,5.315e+06,5.315e+05,1.04,0.8,44.04,2.127,34.67,79.34,83.41,44.41,2.35e+04,1517,243.2,24.76,1.042e+07,1.67e+07,35.25,19.4
221,1,1281,1221,57,2,4161,1.292e+04,4.146e+06,198.1,14.24,4.484e+06,4.484e+05,1.04,0.8,44.01,2.123,34.26,77.57,81.93,44.23,2.016e+04,1281,212.6,21.68,9.261e+06,1.505e+07,40.99,22.85
222,2,1180,807,57,345,387,863,1.633e+05,52.31,11.56,1.8e+05,1.8e+04,1.06,0.8,8.81,0.4029,12,14.55,12.29,2.674,1643,253.8,379.3,42.95,4.412e+06,2.941e+06,6.138,1.573
223,2,1027,1372,55,2,11,11,1.93e+05,12.55,8.868,2.087e+05,2.087e+04,1.04,0.8,7.093,0.3232,14.41,36.52,32.87,16.2,2647,382.3,61.48,6.741,1.733e+05,2.574e+05,9.177,4.691
224,2,1165,393,57,345,778,2782,5.146e+05,92.44,22.6,5.673e+05,5.673e+04,1.06,0.8,17.35,0.7938,17.11,10.92,13.54,6.451,1735,235.9,985.1,143.2,4.036e+07,5.795e+07,8.324,4.123
225,2,1153,692,57,345,500,859,9.877e+04,52.2,12.88,1.089e+05,1.089e+04,1.06,0.8,8.643,0.3674,15.11,9.456,8.201,6.448,1115,188.1,515.4,156.9,8.647e+06,2.043e+07,6.516,5.194
226,1,1281,1221,57,2,2845,8967,1.599e+06,165.1,14.24,1.729e+06,1.729e+05,1.04,0.8,35.21,1.709,26.1,49.22,55.54,17.8,9102,863.1,178.5,18.11,7.338e+06,7.131e+06,46.11,16.12
227,2,1138,597,61,345,1499,4743,5.904e+05,120.3,17.01,6.508e+05,6.508e+04,1.06,0.8,19.33,0.9149,13.13,26.31,24.55,14.3,3342,301.6,343.8,42.19,9.638e+06,1.689e+07,16.32,9.766
228,1,1192,915,59,345,1520,3333,6.41e+05,101.1,13.43,6.933e+05,6.933e+04,1.04,0.8,15.55,0.6949,18.07,48.49,44.78,33.31,5427,582.4,110,12.29,1.094e+06,2.446e+06,18.09,13.67
229,1,1192,915,59,345,1172,2746,4.322e+05,91.85,13.43,4.675e+05,4.675e+04,1.04,0.8,13.91,0.6303,12.04,32.45,26.88,13.87,3501,388.2,206,23.77,2.732e+06,4.244e+06,12.89,6.873
230,2,1192,915,59,345,845,1820,2.563e+05,75.05,13.43,2.772e+05,2.772e+04,1.04,0.8,10.69,0.5297,11.59,24.32,20.84,5.977,2364,325.5,203.1,21.98,2.052e+06,1.789e+06,9.952,3.179
231,1,1281,1221,57,2,2389,7897,9.955e+05,155,14.24,1.077e+06,1.077e+05,1.04,0.8,24.43,1.127,35.8,22.89,43.07,11.54,5860,603.3,184.8,18.8,4.715e+06,3.845e+06,27.64,8.308
232,1,1281,1221,57,2,1954,6589,7.487e+05,141.7,14.24,8.098e+05,8.098e+04,1.04,0.8,21,0.9789,16.31,32.33,32.91,15.87,4357,448,238,26,5.876e+06,8.537e+06,20.76,10.41
233,2,1281,1221,57,2,1453,4946,5.812e+05,122.9,14.24,6.287e+05,6.287e+04,1.04,0.8,17.56,0.8205,11.45,34.68,27.18,8.727,3240,409.1,270.9,28.74,5.662e+06,5.508e+06,15.44,5.39
234,2,1444,1895,57,1,778,1644,2.993e+05,71.42,12.99,3.425e+05,3.425e+04,1.1,0.8,8.587,0.3578,19.01,17.78,24.14,3.425,2838,361.4,187,18.99,1.052e+06,4.681e+05,6.021,1.159
235,2,1180,881,60,345,423,926,1.173e+05,54.1,11.7,1.269e+05,1.269e+04,1.04,0.8,8.806,0.4016,10.92,13.67,9.178,4.752,1093,182.2,479.4,94.24,7.461e+06,1.163e+07,6.496,3.477
236,2,1124,1307,63,2,101,102,3.902e+05,20.81,9.668,4.221e+05,4.221e+04,1.04,0.8,17.32,0.7742,36.66,12.5,30.01,21.38,4141,433,149.2,18.31,2.746e+06,5.881e+06,24.7,17.9
237,2,1179,944,59,345,299,538,1.03e+05,41.87,12.24,1.114e+05,1.114e+04,1.04,0.8,6.809,0.2589,10.95,12.98,8.085,6.038,996.7,149.3,542.4,159.8,5.729e+06,1.286e+07,3.898,2.952
238,2,1239,1213,58,2,0,0,3.677e+04,11.15,8.593,3.977e+04,3977,1.04,0.8,8.864,0.419,6.771,9.198,nan,2.388,421.4,131.4,nan,nan,nan,nan,nan,nan
239,1,1342,1304,64,2,499,833,2.466e+05,51.44,11.89,2.667e+05,2.667e+04,1.04,0.8,19.15,0.8735,25.04,9.425,17.7,12.26,1929,271.8,270.9,41.76,1.033e+07,2.151e+07,28.18,19.88
240,2,1348,1341,68,2,870,4507,8.362e+05,117.3,14.03,9.044e+05,9.044e+04,1.04,0.8,25.06,0.9922,16.36,24.59,27.44,8.016,2990,313.6,382.4,40.14,1.612e+07,1.428e+07,22.06,7.033
241,2,1460,1987,61,1,406,871,1.123e+05,52.54,14.57,1.285e+05,1.285e+04,1.1,0.8,6.902,0.2825,17.78,8.589,9.657,10.5,985.5,152.3,438.5,154.5,3.984e+06,1.301e+07,4.147,4.542
242,2,1182,983,64,345,429,755,2.645e+05,49.09,10.87,2.861e+05,2.861e+04,1.04,0.8,13.69,0.5771,12.7,22.16,20.81,5.578,2105,241.9,210.2,22.54,3.486e+06,2.84e+06,15.79,4.708
243,2,1342,1304,64,2,317,481,6.491e+04,39.75,11.89,7.02e+04,7020,1.04,0.8,8.89,0.4306,7.888,6.29,nan,1.296,807.2,164.3,nan,nan,nan,nan,nan,nan
244,2,1297,1226,64,2,153,286,3.142e+04,31.46,11.66,3.398e+04,3398,1.04,0.8,7.154,0.342,5.834,8.36,nan,0.8917,341.1,98.55,nan,nan,nan,nan,nan,nan
245,2,1296,1171,62,2,325,791,9.683e+04,50.18,11.16,1.047e+05,1.047e+04,1.04,0.8,8.867,0.417,10.04,11.69,nan,126,851.8,167.2,nan,nan,nan,nan,nan,nan
246,2,1317,1208,64,2,423,1196,1.311e+05,61.19,12.19,1.418e+05,1.418e+04,1.04,0.8,10.44,0.4674,7.888,14.6,nan,35.13,943.2,173.2,nan,nan,nan,nan,nan,nan
247,2,1317,1310,65,2,144,281,3.959e+04,31.22,10.72,4.283e+04,4283,1.04,0.8,7.063,0.3171,8.459,7.251,nan,0.9573,394.7,95.57,nan,nan,nan,nan,nan,nan
248,2,1309,1032,65,2,9,9,6.314e+04,12.31,8.851,6.829e+04,6829,1.04,0.8,7.06,0.3182,7.395,11.69,nan,4.844,1048,167.2,nan,nan,nan,nan,nan,nan
249,2,1327,1277,69,2,7,7,8.427e+04,12.06,8.854,9.115e+04,9115,1.04,0.8,15.82,0.7457,19.95,5.629,nan,46.59,903,176.2,nan,nan,nan,nan,nan,nan
250,1,1234,1252,73,2,338,600,7.433e+05,44.05,11.11,8.039e+05,8.039e+04,1.04,0.8,22.77,1.081,51.5,15.23,41.98,17.82,6433,621.2,145.2,15.17,3.304e+06,4.231e+06,31.36,13.99
251,2,1274,1276,72,2,44,44,1.589e+05,16.05,9.697,1.719e+05,1.719e+04,1.04,0.8,15.83,0.7527,13.03,9.09,1.673,33.1,2118,304.6,1.954e+04,6.93e+05,5.389e+09,3.198e+11,2.825,55.89
252,1,1284,1129,70,2,1312,3952,6.387e+05,109.9,12.8,6.908e+05,6.908e+04,1.04,0.8,15.74,0.7372,22.08,17.02,26.13,4.695,4103,513.7,322.1,32.89,5.627e+06,3.13e+06,10.85,2.452
253,2,1284,1129,70,2,886,3267,4.535e+05,100.1,12.8,4.905e+05,4.905e+04,1.04,0.8,15.64,0.7152,21.4,15.82,24.17,3.919,2401,295.7,267.2,27.25,4.977e+06,2.513e+06,13.95,2.948
254,2,1234,1252,73,2,294,556,3.949e+05,42.51,11.11,4.272e+05,4.272e+04,1.04,0.8,20.73,0.9344,27.2,13.89,26.23,8.296,3188,424.1,197.7,21.02,5.966e+06,5.718e+06,30.56,10.5
255,2,1292,1069,70,2,426,685,9.802e+04,46.88,11.69,1.06e+05,1.06e+04,1.04,0.8,8.793,0.4023,9.346,28.89,20.08,21.75,1217,241.9,83.71,15.93,5.938e+05,1.931e+06,16.96,18.51
256,2,1310,1306,70,2,50,50,2.338e+04,16.6,9.564,2.529e+04,2529,1.04,0.8,nan,nan,12.43,7.115,nan,7.902,503.9,113.5,nan,nan,nan,nan,nan,nan
257,2,1334,1317,70,2,9,9,1.591e+04,12.31,8.905,1.721e+04,1721,1.04,0.8,nan,nan,14.49,9.148,6.319,2.901,423.6,98.55,137.2,32.9,nan,nan,nan,nan
