ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
30,2,1192,915,59,345,6748,1.528e+04,1.463e+07,215.3,13.43,1.582e+07,1.582e+06,1.04,0.8,55.13,2.437,30.49,63.85,69.52,15.73,6.605e+04,3010
31,2,507,1864,13,1,1.011e+04,4.852e+04,6.745e+06,383.4,24.84,7.717e+06,7.717e+05,1.1,0.8,47.25,2.099,21.13,39.42,43.48,11.25,2.279e+04,1744
32,2,1311,1547,17,1,202,278,2.731e+05,31.08,11.72,3.125e+05,3.125e+04,1.1,0.8,11.72,0.4978,37.8,15.57,35.28,22.89,3503,397.2
33,2,1181,907,37,345,2192,3472,3.53e+06,103.1,13.03,3.818e+06,3.818e+05,1.04,0.8,27.39,1.243,40.41,62.04,79.46,25.16,2.28e+04,1177
34,2,1537,1651,33,1,1390,2235,2.003e+06,83,12.51,2.292e+06,2.292e+05,1.1,0.8,20.56,0.9181,97.26,30.78,87.17,37.2,2.052e+04,1192
35,2,1398,529,35,345,2304,4466,8.248e+05,116.8,18.38,9.093e+05,9.093e+04,1.06,0.8,8.089,0.268,53.89,23.65,55.29,17.55,7342,522.6
36,2,999,817,42,345,3071,9497,4.607e+06,169.9,14.67,4.983e+06,4.983e+05,1.04,0.8,32.53,1.418,26.61,50.5,56.93,19.21,3.255e+04,2306
37,2,1165,393,57,345,4441,2.5e+04,3.503e+06,275.3,22.6,3.862e+06,3.862e+05,1.06,0.8,55.05,2.185,16.34,71.57,52.73,43.58,1.048e+04,904.9
38,2,1234,1252,73,2,338,600,2.145e+06,44.05,11.11,2.321e+06,2.321e+05,1.04,0.8,44.55,2.022,49.24,18.17,45.32,21.49,1.266e+04,797.4
39,2,1338,1596,18,1,147,214,2.269e+05,27.79,11.58,2.595e+05,2.595e+04,1.1,0.8,14.72,0.5452,13.4,31.15,28.15,20.15,2850,373.3
40,2,1138,597,61,345,1838,6597,1.599e+06,141.7,17.01,1.762e+06,1.762e+05,1.06,0.8,30.21,1.24,21.86,39.26,44.24,14.56,7855,669
41,2,577,1863,42,1,2.335e+04,1.711e+05,2.436e+07,719.7,21.15,2.787e+07,2.787e+06,1.1,0.8,57.87,2.458,86.52,71.16,126.3,30.49,5.41e+04,1878
42,2,1357,441,37,345,1.099e+04,2.814e+04,5.079e+06,292,20.24,5.599e+06,5.599e+05,1.06,0.8,21.97,0.9279,104.1,25.88,82.52,70.93,3.284e+04,2025
43,2,1108,487,43,345,9406,4.552e+04,8.504e+06,371.3,19.56,9.374e+06,9.374e+05,1.06,0.8,41.07,1.8,32.19,54.14,65.53,13.23,3.29e+04,2147
44,2,1007,1056,37,2,318,961,4.659e+05,55.07,12.27,5.039e+05,5.039e+04,1.04,0.8,15.01,0.5845,23.48,14.65,24.47,7.615,3137,274.8
45,2,634,1802,34,1,1837,5484,1.017e+06,129.3,18.81,1.163e+06,1.163e+05,1.1,0.8,18,0.6987,24.29,18.76,29.9,6.623,5719,540.5
