ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
1,2,1312,1346,41,2,0,0,2.192e+05,11.15,1.851,5.7e+06,5.7e+05,25,0.8,50.85,2.415,19.74,30.54,35.82,5.384,6569,495.8,1414,142.5,1.88e+08,8.867e+07,18.82,3.839
2,2,685,1612,24,1,3018,8321,9.837e+05,45.01,8.453,2.697e+07,2.697e+06,26.36,0.8,32.11,0.9604,18.26,37.35,38.63,12.42,1.643e+04,773.5,5754,593,2.829e+08,2.748e+08,1.71,0.5849
3,2,1129,1332,32,2,76,76,1.107e+06,11.9,2.654,2.878e+07,2.878e+06,25,0.8,34.76,0.8877,55.81,45.69,80.17,25.96,3.649e+04,1867,1425,143.6,3.956e+07,3.868e+07,3.897,1.335
4,2,759,1668,13,1,788,1976,2.241e+05,24,5.102,6.146e+06,6.146e+05,26.36,0.8,22.58,1.284,21.27,17.65,26.11,4.92,5449,474.8,2870,293.6,1.033e+08,6.044e+07,2.51,0.6067
5,2,1206,1475,28,2,89,89,1.147e+06,12.03,2.738,2.983e+07,2.983e+06,25,0.8,31.27,1.013,64.32,56.72,96.58,27.68,4.192e+04,1834,1018,102.2,1.898e+07,1.647e+07,3.666,1.138
6,2,1353,1477,32,2,100,100,3.278e+05,12.13,2.622,8.523e+06,8.523e+05,25,0.8,21.88,0.7281,59.85,30.77,67.5,23.64,1.471e+04,857.1,595.4,60.26,7.78e+06,8.226e+06,4.392,1.626
7,2,1054,442,41,345,1781,6861,3.735e+05,41.13,8.997,6.596e+06,6.596e+05,16.98,0.8,18.07,0.4677,25.57,16.62,28.51,7.755,5423,501.7,2583,268.7,5.446e+07,4.486e+07,1.634,0.481
8,2,1281,1480,25,2,262,516,1.985e+05,15.56,3.705,5.161e+06,5.161e+05,25,0.8,32.57,1.693,17.78,25.95,30.16,11.78,6540,531.6,1806,193.8,1.171e+08,1.383e+08,7.179,2.991
9,2,1440,616,34,345,725,1341,9.837e+04,20.75,4.557,1.737e+06,1.737e+05,16.98,0.8,15.61,0.5905,10.85,16.41,12.66,6.198,3837,507.7,3452,528.8,1.224e+08,1.804e+08,2.055,1.039
10,2,1131,407,38,345,3395,1.356e+04,7.93e+05,56.76,8.303,1.4e+07,1.4e+06,16.98,0.8,19.06,0.3774,41.31,19.52,42.67,17.17,1.139e+04,785.4,2449,254.5,3.839e+07,4.653e+07,1.282,0.5338
11,2,1122,1419,28,2,0,0,9.501e+04,11.15,1.666,2.47e+06,2.47e+05,25,0.8,20.83,0.9644,33.65,21.03,39.5,9.343,5951,546.5,503.9,51.2,1.02e+07,7.371e+06,8.039,2.195
12,2,665,1709,8,1,1604,4236,5.697e+05,33.05,3.873,1.562e+07,1.562e+06,26.36,0.8,46.02,2.984,44.96,23.96,50.36,11.81,8361,576.4,1960,197.9,1.519e+08,1.097e+08,7.909,2.262
13,2,1332,1426,32,2,0,0,7.881e+04,11.15,2.108,2.049e+06,2.049e+05,25,0.8,15.5,0.743,12.16,24.78,22.05,11.54,3822,415.1,1342,164.7,2.694e+07,4.245e+07,2.996,1.621
