ncl,ra,dec,vlsr,maj,min,pa,r,delta r,fwhm,vel disp,delta fwhm,delta vel disp,LCO,delta LCO,Mlum,mvir,delta mvir,nvox,tpk
C177,77.789,-68.849,249.4,16.5,8,163,19.4,0.17,2.68,1.138091212,0.15,0.06369913502,9260,11,52967.2,144800,320,383,3.47
C178,77.825,-68.896,248.2,10.9,6.6,132,13.1,0.95,0.75,0.3184956751,0.66,0.2802761941,1240,74,7092.8,7700,1600,19,1.4
C179,77.854,-69.012,231.1,13.1,5.1,119,9.6,0.46,1.11,0.4713735992,0.49,0.2080838411,2630,45,15043.6,12300,1060,90,1.34
C180,77.927,-69.012,234.2,19.2,9.1,122,23,0.24,1.43,0.6072650872,0.19,0.08068557103,4210,18,24081.2,48800,460,222,1.88
C181,77.936,-67.789,270.6,5.4,4.3,169,,,1.1,0.4671269902,0.55,0.2335634951,700,66,4004,0,0,40,1.5
C182,77.945,-68.942,246.5,14.4,5.4,175,11.8,0.2,2.4,1.01918616,0.15,0.06369913502,3880,9,22193.6,70700,350,353,2
C183,77.952,-67.826,273.3,10.4,7.9,42,14.7,0.32,1.4,0.5945252602,0.33,0.140138097,2410,22,13785.2,29900,770,140,1.56
C184,77.953,-67.815,277.6,17.3,6.7,101,17.2,0.25,1.23,0.5223329072,0.33,0.140138097,3700,21,21164,27100,700,232,1.85
C185,78.007,-67.177,289.4,11.6,9,75,17.3,0.33,1.29,0.5478125612,0.27,0.114658443,7370,23,42156.4,30100,640,204,3.28
C186,78.036,-69.668,232,9.4,5.9,84,10.5,0.25,1.17,0.4968532532,0.17,0.07219235302,2770,12,15844.4,14900,440,228,2.17
C187,78.046,-67.159,287.6,9.9,6.1,108,11.3,0.6,1.5,0.6369913502,0.5,0.2123304501,4040,66,23108.8,26500,1210,103,2.36
C188,78.058,-70.504,235.2,12,4.3,149,,,0.69,0.2930160211,0.25,0.106165225,1750,29,10010,0,0,122,2.97
C189,78.059,-67.755,274.7,5.6,4.8,117,4,1.43,1.67,0.7091837032,0.43,0.1826041871,1450,38,8294,11600,1810,85,1.22
C190,78.06,-70.463,232.7,15.4,4.4,20,,,1.16,0.4926066442,0.24,0.101918616,4840,15,27684.8,0,0,195,2.55
C191,78.084,-69.11,237.1,6.1,5.3,112,6.3,0.87,1.36,0.5775388242,0.43,0.1826041871,980,58,5605.6,12000,1250,85,1.17
C192,78.109,-69.598,230.5,8.7,6.8,5,11.5,0.47,2.45,1.040419205,0.28,0.118905052,4700,33,26884,71500,740,132,2.06
C193,78.124,-67.153,282.1,5.3,4.8,154,3.4,1.02,1,0.4246609001,0.22,0.09342539803,1220,20,6978.4,3500,1060,119,1.8
C194,78.128,-70.42,234.1,11.2,6,8,11.8,0.64,0.74,0.3142490661,0.38,0.1613711421,2140,59,12240.8,6700,1090,88,2.5
C195,78.15,-69.061,237.1,7.6,5.3,58,7.6,0.46,1.49,0.6327447412,0.3,0.12739827,1170,29,6692.4,17600,820,127,1.36
C196,78.159,-68.222,283.2,9,6.5,179,11.4,0.35,1.27,0.5393193432,0.22,0.09342539803,2880,17,16473.6,19200,540,190,2.37
C197,78.163,-67.732,273,10.5,6.7,46,13,0.34,1.73,0.7346633572,0.18,0.07643896203,1760,19,10067.2,40500,570,173,1.6
C198,78.177,-69.038,233.4,8,3.2,5,,,1.4,0.5945252602,0.57,0.2420567131,430,88,2459.6,0,0,36,1.25
C199,78.184,-68.161,283.1,8.8,5.7,67,9.6,0.42,1.42,0.6030184782,0.16,0.06794574402,2260,20,12927.2,20100,540,236,1.6
