ncl,vlsr,tmax,s/n,R,R error,vel disp,vel disp error,LCO,LCO error,Mvir,Mvir error,Mlum,alphavir,pa,Reg,Flag,
1401,-83.6,3.2,7.4,16,22,5,2.7,130000,90000,410000,720000,611052.6316,0.76,19,0.8,IA,0
1402,-79,1.8,4.4,32,0,7.7,3.6,60000,30000,1930000,1810000,298070.6468,7.39,168,0.6,IA,1
1403,-76,4,9.7,33,23,6.9,4.4,200000,180000,1610000,1740000,996766.082,1.83,52,0.7,SA,0
1404,-79.1,1.9,5.1,32,0,5.3,4.2,40000,50000,930000,1480000,194338.8603,5.37,18,0.8,SA,1
1405,-76.9,8.3,18.3,78,36,12,8.7,1180000,1500000,11800000,16840000,5694476.856,2.29,158,0.6,SA,0
1406,-72.9,4.5,8.9,38,25,5.7,2.7,230000,210000,1280000,1710000,1119838.922,1.28,145,0.8,SA,0
1407,-79.3,3.8,7.7,85,12,6.9,1.1,680000,90000,4230000,1200000,3262772.813,1.44,174,0.6,IA,0
1408,-68.7,1.7,4.2,28,25,6,7.8,110000,110000,1070000,3180000,529542.0814,2.21,20,0.6,SA,0
1409,-71.7,7.8,16.9,48,39,6.7,7,450000,880000,2270000,4710000,2156577.517,1.16,35,1,SA,0
1410,-72.2,6.2,12.9,52,29,7.2,6.9,720000,800000,2770000,5540000,3556459.636,0.88,170,0.2,SA,0
1411,-74.7,5.3,10.1,125,8,8.2,0.7,1430000,90000,8730000,1620000,6970146.429,1.4,101,0.5,IA,0
1412,-70.2,3.4,6.3,53,37,1.7,1,170000,70000,160000,200000,808319.8636,0.22,38,1.1,IA,0
1413,-69.3,2.5,5.9,32,0,4.4,1.7,90000,40000,630000,480000,449539.2,1.6,113,0.4,IA,1
1414,-70.7,4.2,10.4,50,28,4.1,5.2,270000,330000,860000,1860000,1336740.411,0.73,141,0.5,SA,0
1415,-59.8,2.3,5.2,44,13,8.2,2.3,380000,90000,3060000,2260000,1876988.066,1.83,126,0.6,SA,0
1416,-61.9,2.6,5.6,32,0,10,5.7,80000,40000,3300000,3790000,371148.8511,10.01,143,0.8,SA,1
1417,-66.5,5.7,13.5,69,29,12.1,6.4,650000,930000,10470000,11780000,3169934.781,3.7,59,0.5,SA,0
1418,-71.9,3.5,8.6,32,0,7.5,8.3,230000,430000,1870000,4140000,1105714.286,1.89,162,0.1,SA,1
1419,-65.1,6,12.5,74,37,1.8,1.8,810000,1770000,260000,500000,3976590.857,0.07,43,0.4,SA,0
1420,-66,3.4,6.7,45,26,5.4,3.4,210000,140000,1330000,1880000,1057961.25,1.44,14,0.3,IA,0
1421,-66.1,3.2,5.6,32,0,4.4,3.4,70000,50000,640000,1000000,326937.6,2.2,143,0.5,IA,1
1422,-61.7,3,7,30,18,5.9,2.7,150000,130000,1070000,1380000,743823.4969,1.63,178,0.6,SA,0
1423,-64.3,2,4.9,32,0,3.4,3,20000,20000,390000,680000,109004.3452,3.94,171,0.9,SA,1
1424,-58.2,3.7,8.9,99,36,6.5,2.1,880000,380000,4320000,3120000,4335868.527,1.12,36,0.3,SA,0
1425,-60.4,5.6,12.5,100,38,18.1,10.8,1070000,1120000,34200000,52470000,5210345.342,7.3,160,0.2,SA,0
1426,-62.6,3.7,7.7,39,35,5.1,6.1,340000,760000,1040000,3000000,1706821.435,0.69,64,1.3,SA,0
1427,-57.4,2.7,6.2,32,0,7.8,3.2,100000,80000,1990000,1630000,481946.2004,4.69,167,0.6,IA,1
1428,-57.1,3.1,6.8,53,33,6.6,10.1,140000,270000,2370000,7580000,709094.5714,3.78,161,0.4,SA,0
1429,-52.1,5.2,11.6,127,38,6,3.8,1310000,1910000,4710000,5700000,6473282.927,0.82,18,0.3,SA,0
1430,-47.3,2.8,6.5,72,16,6.4,2.3,810000,480000,3100000,2320000,3935549.793,0.87,178,0.3,SA,0
1431,-51.4,2.7,6.3,32,44,10,11.2,240000,400000,3400000,10590000,1132682.927,3.28,173,0.5,SA,0
1432,-58.3,6.2,15,32,0,9.6,9.3,310000,240000,3010000,5830000,1542310.054,2.22,117,0.5,SA,1
1433,-57.8,3.9,8.7,64,38,7.5,5.3,710000,880000,3720000,6220000,3483000,1.2,25,1.2,SA,0
1434,-49,2.3,5,39,40,3.8,4.3,70000,50000,590000,1330000,349641.0481,1.87,14,0.4,IA,0
1435,-44.1,2.3,5.5,65,17,10.4,2.8,360000,140000,7290000,4760000,1770562.777,4.61,17,0.6,SA,0
1436,-46.3,5.4,13.5,45,19,5.3,2.4,590000,300000,1330000,1040000,2822234.712,0.52,144,0.4,SA,0
1437,-49.7,3.3,7.5,32,19,4.3,2.4,190000,80000,630000,810000,915920.64,0.75,145,0.6,SA,0
1438,-48.2,4.3,9.5,32,0,10.2,6.7,340000,400000,3410000,4490000,1658924.498,2.33,33,0.5,SA,1
1439,-48.7,5.4,10.8,32,24,6,5,180000,370000,1220000,2610000,874164.7059,1.53,123,0.6,SA,0
1440,-45.3,4.1,9.8,36,28,8,4.1,540000,420000,2410000,3190000,2622494.118,1.02,14,0.4,SA,0
1441,-51.7,2.5,5.7,48,33,6.2,5.4,100000,90000,1930000,3920000,465692.2435,4.6,3,0.5,SA,0
1442,-48.1,2.3,5.5,32,0,4.5,2.5,90000,60000,680000,740000,445164.497,1.69,14,0.4,SA,1
1443,-40.8,3.4,7.9,32,0,4.5,3.1,260000,160000,660000,920000,1297117.241,0.58,46,0.3,IA,1
1444,-44.6,2.2,5.3,20,36,12.9,8.4,140000,170000,3520000,7390000,649418.521,5.95,148,0.9,IA,0
1445,-39.3,1.9,4.4,32,0,4.7,3.8,70000,40000,730000,1180000,343383.9665,2.39,154,0.4,IA,1
1446,-40.9,4.8,11.2,125,50,11,5.2,1390000,1350000,15700000,16240000,6779971.042,2.59,179,0.2,SA,0
1447,-46.6,2.4,5.2,32,0,7.1,5.3,140000,60000,1650000,2470000,671266.0645,2.79,172,0.6,SA,1
1448,-45.3,3.1,6.6,39,20,1.8,1.5,120000,130000,130000,280000,586815.84,0.25,21,0.7,SA,0
1449,-40.7,2.7,6.3,72,24,7.8,5.2,340000,250000,4530000,6860000,1640560.413,3.1,6,0.4,IA,0
1450,-39.4,2,4.7,40,30,2.3,2.6,110000,120000,210000,430000,534060,0.46,165,1.1,IA,0
1451,-34,1.6,4.1,32,0,4.8,3.3,70000,50000,760000,1040000,347960.1951,2.46,23,0.3,SA,1
1452,-26.5,2.2,5,32,0,4.5,5.2,70000,70000,680000,1540000,337366.8161,2.23,126,0.5,SA,1
1453,-66.1,5,6.3,60,28,5.1,2.8,740000,460000,1630000,2180000,3623713.2,0.5,41,0.3,IA,0
1454,-60,6.6,7,30,21,5.3,3.1,310000,260000,870000,1500000,1505191.846,0.65,143,0.6,IA,0
1455,-52.1,4.2,4.3,32,0,8.8,4.6,280000,190000,2540000,2650000,1376579.368,2.09,159,0.6,IA,1
1456,-55.9,2.7,6.4,32,0,15.5,4.2,230000,30000,7890000,4250000,1132711.675,7.88,10,0.3,IA,1
1457,-61.2,5.4,5.5,50,11,6.6,2.9,500000,90000,2240000,1650000,2455007.767,1.03,38,0.6,IA,0
1458,-50.4,2.7,5.1,87,13,5.7,1.1,510000,100000,2910000,1190000,2524398.023,1.3,19,0.5,IA,0
1459,-32.3,2.4,5.4,32,0,8.7,2.4,160000,40000,2490000,1370000,798873.5455,3.52,152,0.5,IA,1
1460,-28.3,1.7,4.3,32,0,11.7,8.2,80000,50000,4530000,6300000,412803.3506,12.32,156,0.7,IA,1
1461,-1.9,2.1,5.7,32,0,8.2,3.4,100000,30000,2220000,1830000,473125.0909,5.28,155,0.5,IA,1
1462,-36.5,2.1,4.9,32,0,3.9,1.6,80000,20000,510000,400000,395162.1818,1.43,159,0.6,IA,1
1463,4.5,2,5.3,32,0,2.5,1.1,50000,20000,210000,190000,221142.8571,1.05,165,0.8,IA,1
1464,-115.3,1.7,5.3,32,0,2.4,1.5,30000,10000,180000,230000,133747.2,1.6,56,0.7,SA,1
1465,-97.6,1.9,5.6,32,0,4.7,4.8,40000,30000,720000,1470000,200657.1345,4.09,119,0.9,SA,1
1466,-89.7,1.5,3.8,32,0,6.4,5.8,50000,40000,1360000,2460000,238144.9014,6.39,155,0.6,SA,1
1467,-89.2,1.6,3.9,32,0,5.5,3.1,50000,50000,990000,1110000,243257.1429,4.62,159,0.5,SA,1
1468,-83.3,2.5,6.5,72,57,4,2.6,340000,300000,1180000,1840000,1714707.692,0.78,174,0.8,SA,0
1469,-69.7,2,5,32,0,6.8,3.9,80000,40000,1550000,1750000,381757.44,4.5,133,0.7,SA,1
1470,-75.6,3.5,8.6,90,20,8.7,4.2,670000,150000,7110000,8260000,3268119.05,2.42,70,0.4,SA,0
1471,-71.3,4.5,10.6,78,30,6.1,2.6,780000,490000,2970000,2640000,3829162.705,0.88,140,0.2,SA,0
1472,-59.3,4.8,11.3,53,27,6.7,6.7,260000,510000,2440000,5220000,1272910.77,2.17,151,0.3,SA,0
1473,-62.5,4.1,9.4,43,27,7.3,3.6,450000,360000,2350000,2920000,2216997.225,1.2,33,0.9,SA,0
1474,-67.5,2.5,5.9,27,12,8.9,3.1,170000,30000,2170000,1710000,859168.1211,2.89,86,0.9,SA,0
1475,-56.2,7.2,15.3,65,25,7.1,2.9,1490000,710000,3450000,2940000,7177718.208,0.53,140,0.4,SA,0
1476,-56.2,5.4,11.8,47,16,5.5,1.8,520000,160000,1480000,1120000,2500987.5,0.66,9,0.5,SA,0
1477,-59.1,5.3,12.4,58,21,6.6,2,590000,200000,2590000,1970000,2904201.267,1.01,23,0.5,SA,0
1478,-61.1,4.7,12.1,127,64,3,2.6,970000,300000,1200000,2010000,4739367.857,0.28,92,0.5,SA,0
1479,-59.2,2.2,5.3,32,0,3.7,1.7,40000,20000,440000,420000,189780.1791,2.68,176,0.5,SA,1
1480,-53.8,4.5,11,46,25,5.7,3.5,280000,280000,1570000,1980000,1355594.484,1.28,105,1.1,SA,0
1481,-54.5,5.7,13.2,75,43,9.4,7,1040000,1190000,6960000,13460000,5028723.529,1.53,28,0.5,SA,0
1482,-58.1,2.1,5.1,44,71,4.5,6.4,200000,230000,920000,3130000,985191.4286,1.05,42,0.9,SA,0
1483,-52.5,4.1,9.9,80,38,2.1,0,380000,310000,380000,180000,1780873.043,0.23,157,0.3,SA,1
1484,-49.4,7.1,15.6,51,27,2.6,2.9,430000,400000,360000,650000,2106665.053,0.19,112,0.4,SA,0
1485,-46.6,2.6,6.3,40,28,4.6,4.4,90000,90000,890000,1740000,427248,2.3,124,0.8,SA,0
1486,-42,2,4.5,33,18,5.6,2.7,130000,160000,1080000,1100000,625779,1.92,168,0.5,SA,0
1487,-41.2,5.4,12.4,65,32,6,2.8,630000,630000,2420000,2190000,3052516.854,0.89,175,0.4,SA,0
1488,-35.8,7.1,16.3,57,15,11.1,2.6,1140000,1100000,7250000,3790000,5546713.041,1.47,134,0.6,SA,0
1489,-39.2,2.8,6.8,34,28,2.4,3.8,80000,80000,210000,640000,392017.6552,0.58,11,1.1,IA,0
1490,-42,3.9,8.8,57,35,0.9,1.4,320000,330000,40000,160000,1786779,0.03,104,0.2,SA,0
1491,-38.2,2.7,6.3,59,23,2.3,3.4,60000,30000,320000,1050000,292225.5726,1.24,11,0.6,SA,0
1492,-40.2,3.5,7.6,61,40,2.6,2.6,70000,70000,430000,930000,319166.64,1.5,93,1,SA,0
1493,-40.6,4.5,10.6,45,54,13.6,13.8,120000,230000,8530000,20780000,595760.4932,16.22,147,0.5,SA,0
1494,-28,5.5,13.6,32,0,15,14,440000,880000,7410000,13860000,2154432.99,3.88,127,0.4,SA,1
1495,-29.4,4.6,11.4,60,16,6.4,2.4,760000,280000,2580000,2000000,3658043.077,0.78,154,1.1,IA,0
1496,-31.1,2.3,5.4,54,35,11.9,9.1,270000,330000,7870000,15920000,1313328.009,6.76,7,0.3,SA,0
1497,2.7,1.7,4.3,32,0,7.7,7.7,90000,50000,1970000,3930000,450458.5031,4.89,131,0.3,SA,1
1498,-67.6,4.4,10.1,38,10,5.2,1.3,270000,20000,1050000,720000,1340394.067,0.89,175,0.5,SA,0
1499,-64.8,3.4,7.5,40,12,8,1.9,200000,30000,2660000,1500000,968130.2932,3.07,173,0.6,IA,0
1500,-66.1,2.4,5.2,40,11,4.8,1.4,130000,40000,950000,540000,648471.2727,1.65,98,0.6,IA,0
1501,-61.7,3.6,6.3,61,11,7.8,1.6,500000,70000,3880000,2120000,2434321.831,1.77,38,0.3,IA,0
1502,-53,5.3,4.5,32,0,11,5.3,490000,230000,4010000,3890000,2391165.957,1.88,3,0.4,IA,1
1503,-52.6,5.5,4.4,32,0,5.9,2.2,200000,120000,1150000,870000,1002528,1.29,28,0.6,IA,1
1504,-51.8,2.4,4.5,36,19,4.6,3.5,100000,110000,770000,1410000,517194.9474,1.71,17,0.4,IA,0
1505,-57.1,2.8,5.1,32,0,4.4,2.3,60000,30000,640000,670000,294779.8033,2.44,178,0.3,IA,1
1506,-15.4,2.7,4.6,32,0,2.9,1.8,100000,30000,280000,350000,488200.5,0.64,3,0.3,IA,1
1507,-0.4,2.9,5.6,32,0,10.1,3.5,80000,20000,3370000,2340000,413741.869,9.16,148,0.6,IA,1
