ncl,vlsr,tmax,s/n,R,R error,vel disp,vel disp error,LCO,LCO error,Mvir,Mvir error,Mlum,alphavir,pa,Reg,Flag,
1235,-109.9,2.6,5.3,32,0,8,3.2,90000,20000,2110000,1670000,456377.7351,5.21,136,0.6,SA,1
1236,-56.2,3.6,4.1,32,0,4.3,4,90000,100000,600000,1120000,448980.7059,1.53,92,1.1,SA,1
1237,-62.6,5.8,5.7,28,27,3.8,3.1,200000,270000,410000,930000,977949,0.48,68,0.8,SA,0
1238,-48.4,6.9,5.5,58,34,6.2,3.3,540000,460000,2330000,2330000,2614618.909,0.99,159,0.3,SA,0
1239,-40.7,6.8,6.1,53,30,3.8,3.6,260000,210000,800000,1400000,1251459.887,0.71,55,0.5,SA,0
1240,-17.9,6,5,32,0,4.9,6,100000,90000,800000,1930000,474478.4681,1.88,26,0.5,SA,1
1241,-81.7,1.6,4.8,32,0,4.1,4,30000,10000,560000,1090000,131756.3544,4.74,172,0.7,IA,1
1242,-65.8,1.9,4.1,32,0,4.7,3.6,40000,40000,730000,1110000,221209.6173,3.71,138,0.7,IA,1
1243,-68.6,2.6,5.8,45,22,5.4,2.6,200000,140000,1380000,1310000,982880.129,1.55,123,0.3,SA,0
1244,-60.7,1.3,4,32,0,4.8,2.1,20000,20000,760000,670000,98501.96548,8.69,25,0.4,IA,1
1245,-65.2,2.2,5.6,32,0,5.6,4,60000,40000,1020000,1480000,284167.4927,4.1,0,0.5,IA,1
1246,-64.3,2.3,5.5,32,0,5.7,3.1,80000,90000,1090000,1150000,374865.9876,3.22,145,0.8,IA,1
1247,-60,2.8,6.5,66,28,1.7,0.7,230000,190000,210000,210000,1107245.7,0.2,58,0.7,SA,0
1248,-57.3,2.9,6.8,42,21,9.3,4.8,350000,150000,3830000,4650000,1680249.155,2.51,148,0.4,SA,0
1249,-51.2,3.5,9.1,16,7,3.2,1.3,120000,20000,170000,130000,576418.9091,0.33,163,0.6,IA,0
1250,-45.2,3.3,7.9,35,32,2.5,2.8,170000,310000,230000,650000,846562.5,0.3,104,0.6,IA,0
1251,-39.7,3.2,8.2,32,0,7.3,1.7,240000,30000,1760000,800000,1185526.994,1.67,158,0.5,IA,1
1252,-41.3,3.4,8.6,30,16,4.4,2.5,200000,160000,610000,790000,949730.7042,0.71,105,0.9,IA,0
1253,-75.1,2.3,5,36,18,10.5,2.2,150000,40000,4060000,2850000,761654.3802,6.05,68,0.5,IA,0
1254,-79.1,2.4,4.1,32,0,3.7,2.6,50000,40000,450000,650000,250547.2315,2.03,157,0.8,SA,1
1255,-72.3,3.9,8.1,47,8,8,2.7,390000,80000,3120000,2030000,1918839.56,1.82,65,0.7,SA,0
1256,-69.8,2.4,4.3,32,0,2.7,3.4,40000,40000,240000,610000,177018.3529,1.53,135,0.8,SA,1
1257,-69,2.9,4.6,32,0,4.2,3,40000,30000,580000,820000,176647.2453,3.71,92,0.7,SA,1
1258,-61.7,2.8,6.9,42,25,4.9,4.7,160000,180000,1050000,2340000,770247.1184,1.52,79,0.9,IA,0
