ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
79,1,1315,1342,39,8258,4.747e+04,1.147e+07,280.9,27.07,1.543e+07,1.543e+06,81.66,3.818,18.47,28.9,33.17,7.302,4.614e+04,3231
80,1,1121,1362,31,4231,1.417e+04,1.412e+06,153.8,15.79,1.899e+06,1.899e+05,24.22,1.124,44.65,20.61,46.07,23.77,9434,863.1
81,2,1133,1396,25,301,416,4.448e+04,28.54,10.72,5.982e+04,5982,5.175,0.192,15.95,5.35,nan,14.13,671.1,140.4
82,2,1337,1464,27,1478,3294,2.998e+05,74.77,10.75,4.032e+05,4.032e+04,14.09,0.6829,16.73,29.86,31.78,9.824,3296,400.2
83,2,1456,619,30,2316,7205,8.253e+05,109.9,21.79,1.11e+06,1.11e+05,19.58,0.7648,13.38,16.45,16.47,3.851,5313,603.3
84,1,1315,1342,39,8132,4.733e+04,1.031e+07,280.5,27.07,1.386e+07,1.386e+06,79.02,3.795,18.23,28.46,32.56,4.793,3.912e+04,2849
85,1,1315,1342,39,3161,3.146e+04,6.05e+06,228.7,27.07,8.136e+06,8.136e+05,78.16,3.718,18.24,28.48,32.6,3.731,1.33e+04,952.7
86,1,1315,1342,39,3622,3.249e+04,6.388e+06,232.5,27.07,8.591e+06,8.591e+05,78.07,3.677,18.08,28.3,32.28,5.026,1.629e+04,1272
87,2,1385,1394,29,461,1032,3.111e+05,42.86,10.14,4.184e+05,4.184e+04,15.06,0.5947,16.91,31.13,32.87,14.63,3311,430
88,1,1591,1620,28,109,125,1.339e+05,18.21,8.216,1.801e+05,1.801e+04,15.37,0.6738,20.44,37.15,41.18,15.99,2970,510.7
89,2,1591,1620,28,98,114,6.795e+04,17.71,8.216,9.138e+04,9138,10.17,0.4372,20.71,9.474,14.43,18.91,1472,247.9
90,1,1315,1342,39,2296,2.568e+04,3.344e+06,206.7,27.07,4.497e+06,4.497e+05,64.01,2.779,15.85,23.97,26.34,4.861,5840,480.8
91,2,1121,1362,31,1790,5388,5.989e+05,95.21,15.79,8.054e+05,8.054e+04,13.85,0.6276,34.09,14.74,31.9,14.21,3991,510.7
92,2,1006,1054,31,89,99,1.518e+05,16.99,7.974,2.042e+05,2.042e+04,15.15,0.616,18.85,8.046,9.507,11.27,2357,298.6
93,1,1070,1274,30,370,559,4.356e+05,32.43,8.209,5.858e+05,5.858e+04,21.24,1.074,23.13,13.51,22.7,8.679,5287,636.1
94,2,1070,1274,30,370,559,3.918e+05,32.43,8.209,5.269e+05,5.269e+04,19.35,0.9537,22.26,13.25,21.65,9.094,4673,573.4
95,2,1315,1342,39,1658,2.136e+04,2.581e+06,188.6,27.07,3.471e+06,3.471e+05,46.32,1.518,16.59,20.61,24.36,4.772,3697,322.5
96,2,1260,1393,27,15,23,2.4e+04,12.75,6.654,3.228e+04,3228,5.284,0.2189,7.448,10.55,nan,4.463,497.2,113.5
97,2,1114,1423,29,458,603,5.689e+04,33.54,10.37,7.651e+04,7651,5.305,0.2238,6.791,15,nan,14.67,1021,206.1
98,2,1315,1409,28,326,570,4.922e+04,32.71,8.989,6.619e+04,6619,8.859,0.4236,4.76,9.844,nan,3.126,726.9,161.3
99,2,1308,1496,30,0,0,1.006e+05,11.15,5.688,1.353e+05,1.353e+04,15.62,0.7178,18.29,6.778,4.16,45.63,1799,301.6
100,2,1180,1505,32,147,170,6.113e+04,20.16,7.539,8.221e+04,8221,10.63,0.5188,5.24,10.22,nan,1.246,1070,215
101,1,1120,445,33,1296,4052,6.678e+05,82.76,26.19,8.98e+05,8.98e+04,18.72,0.8179,14.34,23.64,24.19,12.61,2890,361.4
102,2,1277,1442,29,226,459,6.762e+04,29.77,9.148,9.094e+04,9094,10.57,0.5102,16.8,9.505,10.56,17.08,851.8,173.2
103,2,1604,1584,30,11,11,4.95e+04,11.94,6.596,6.657e+04,6657,10.08,0.3967,19.37,7.523,8.648,20.25,1148,247.9
104,1,1035,1356,35,113,126,3.096e+05,18.26,7.513,4.163e+05,4.163e+04,17.61,0.8529,16.1,24.47,27.02,14.55,5565,860.1
105,2,1084,1337,33,73,86,2.031e+05,16.34,6.957,2.732e+05,2.732e+04,15.86,0.7678,16.37,24.09,27.05,12.21,3202,486.8
106,2,1239,1452,31,60,61,4.154e+04,15.02,7.161,5.586e+04,5586,10.65,0.5284,7.374,5.142,nan,1.353,996.7,230
107,1,1099,953,34,6503,1.67e+04,7.974e+06,166.9,12.79,1.072e+07,1.072e+06,63.5,2.628,27.82,78.53,73.91,17.46,5.971e+04,3736
108,1,1099,953,34,1237,2036,8.027e+05,59.19,12.79,1.08e+06,1.08e+05,14.88,0.5827,49.64,24.73,54.16,17.59,1.137e+04,970.6
109,1,1099,953,34,6491,1.669e+04,7.067e+06,166.8,12.79,9.503e+06,9.503e+05,61.01,2.623,26.27,56.8,60.27,21.28,5.068e+04,3327
110,1,1099,953,34,1059,1779,3.812e+05,55.47,12.79,5.126e+05,5.126e+04,11.84,0.4892,32.2,8.708,20.75,20.08,4981,516.7
111,2,1217,1364,32,132,157,2.892e+04,19.62,7.374,3.89e+04,3890,6.919,0.2893,16.1,6.169,nan,9.261,575.3,134.4
112,2,1243,1384,32,22,29,2.583e+04,13.13,6.749,3.474e+04,3474,6.839,0.2707,8.81,6.65,nan,1.485,532.9,149.3
113,2,1008,1407,30,23,23,4.311e+04,12.75,6.878,5.798e+04,5798,8.876,0.4509,7.896,9.735,nan,2.198,1104,176.2
114,1,599,1705,39,7203,2.529e+04,2.916e+06,205.2,20.78,3.921e+06,3.921e+05,27.92,1.322,21.83,84.35,67.49,66.24,1.645e+04,1693
115,1,625,1659,35,4229,1.412e+04,1.587e+06,153.5,18.17,2.134e+06,2.134e+05,23.93,1.073,38.99,22.6,44.92,19.39,9483,958.7
116,2,650,1627,36,1197,4148,5.548e+05,83.71,18.09,7.461e+05,7.461e+04,17.05,0.7277,25.34,12.52,22.98,8.728,2669,397.2
117,2,1120,445,33,422,1026,2.063e+05,42.74,26.19,2.774e+05,2.774e+04,8.527,0.3464,14.89,7.958,1.656,50.43,940.9,188.1
118,2,1099,953,34,833,1518,1.752e+05,51.41,12.79,2.356e+05,2.356e+04,10.01,0.3846,25.73,7.818,14.87,6.262,2350,337.5
119,2,1147,966,34,178,257,1.2e+05,23.47,8.311,1.614e+05,1.614e+04,11.98,0.5293,10.1,15.99,10.78,7.559,2051,280.7
120,2,1204,1281,33,0,0,6.529e+04,11.15,6.369,8.78e+04,8780,8.7,0.3851,11.87,14.2,11.62,8.465,1258,188.1
121,2,599,1705,39,1547,5251,6.973e+05,94.01,20.78,9.377e+05,9.377e+04,26.02,1.218,18.4,8.609,10.41,12.21,3449,427.1
122,2,1128,467,33,383,610,1.102e+05,33.71,23.3,1.482e+05,1.482e+04,6.723,0.2468,6.46,10.2,nan,2.945,854,176.2
123,1,1164,824,40,5147,1.454e+04,5.98e+06,155.8,12.5,8.043e+06,8.043e+05,57.68,2.494,26.03,56.53,59.82,18.94,3.669e+04,2309
124,1,1164,824,40,3648,1.173e+04,3.437e+06,140,12.5,4.622e+06,4.622e+05,51.56,2.31,23.83,49.66,53.07,25.71,2.095e+04,1714
125,1,1164,824,40,3543,1.162e+04,2.79e+06,139.3,12.5,3.752e+06,3.752e+05,48.24,2.182,23.93,49.31,52.99,29.71,1.8e+04,1687
126,1,1164,824,40,3208,1.089e+04,2.323e+06,134.9,12.5,3.125e+06,3.125e+05,48.38,2.22,26.86,46.67,54.79,16.35,1.565e+04,1592
127,1,1164,824,40,3289,1.099e+04,2.446e+06,135.5,12.5,3.29e+06,3.29e+05,48.29,2.2,26.72,46.39,54.46,16.15,1.658e+04,1681
128,1,1164,824,40,3787,1.193e+04,3.504e+06,141.2,12.5,4.713e+06,4.713e+05,51.53,2.301,24.51,49.67,53.92,26.48,2.127e+04,1684
129,2,1165,923,37,81,97,5.499e+04,16.89,8.457,7.395e+04,7395,13.94,0.674,7.615,9.103,nan,0.6873,787.1,170.2
130,1,955,1253,39,60,60,6.732e+05,14.96,6.805,9.054e+05,9.054e+04,22.59,1.063,22.27,60.45,56.98,36.01,1.168e+04,1129
131,2,1062,1319,34,0,0,3.736e+04,11.15,6.374,5.024e+04,5024,10.53,0.5025,13.19,7.57,nan,8.804,798.2,158.3
132,2,1147,1319,35,456,837,8.249e+04,38.9,9.241,1.109e+05,1.109e+04,12.25,0.5755,14.42,8.007,nan,41.15,1166,244.9
133,1,1164,824,40,3157,1.084e+04,2.004e+06,134.6,12.5,2.695e+06,2.695e+05,46.95,2.21,27.43,46.85,55.55,14.68,1.293e+04,1323
134,1,1164,824,40,2511,9292,1.214e+06,124.7,12.5,1.632e+06,1.632e+05,45.18,2.122,18.41,26.52,31.3,13.96,7947,866.1
135,1,1164,824,40,2376,9129,1.156e+06,123.6,12.5,1.554e+06,1.554e+05,45.12,2.113,18.36,26.32,31.09,14.1,6805,627.2
136,1,1164,824,40,2804,9908,1.396e+06,128.7,12.5,1.878e+06,1.878e+05,45.13,2.112,14.29,27.68,27.11,8.839,9452,985.5
137,2,1182,915,34,51,51,1.227e+05,14.45,7.036,1.65e+05,1.65e+04,19.59,0.9944,8.659,25.76,16.71,8.283,1795,307.6
138,2,1122,975,34,206,241,3.133e+04,22.9,8.523,4.213e+04,4213,5.084,0.1761,8.387,12.42,nan,10.76,715.7,125.4
139,2,1178,1031,38,0,0,2.716e+05,11.15,6.274,3.653e+05,3.653e+04,12.07,0.537,21.35,43.41,46.25,25.52,6453,677.9
140,2,1107,1155,35,0,0,5.176e+04,11.15,6.265,6.96e+04,6960,8.214,0.3084,16.44,25.71,28.4,10.53,1779,277.7
141,2,1106,1391,34,307,525,4.443e+04,31.55,8.869,5.976e+04,5976,7.048,0.3186,5.692,9.053,nan,2.02,684.5,185.2
142,2,1252,1394,36,0,0,1.97e+04,11.15,5.214,2.649e+04,2649,7.163,0.3544,4.714,11.1,nan,5.018,789.3,164.3
143,2,1519,714,36,279,342,5.318e+04,26.3,11.35,7.152e+04,7152,6.695,0.2414,6.957,19.38,6.775,20.35,1012,191.1
144,2,1145,890,35,355,535,1.185e+05,31.81,8.677,1.594e+05,1.594e+04,8.81,0.4127,10.16,22.21,16.91,10.24,2134,415.1
145,2,1215,1328,37,390,1072,3.114e+05,43.63,9.546,4.187e+05,4.187e+04,17.02,0.7515,20.33,11.85,18.06,7.333,3157,436
146,2,1035,1356,35,40,40,2.595e+04,13.81,7.513,3.49e+04,3490,5.148,0.1859,7.805,10.47,nan,4.352,599.8,128.4
147,2,625,1659,35,471,1087,1.539e+05,43.91,18.17,2.07e+05,2.07e+04,10.34,0.4658,24.92,9.969,18.6,7.254,1050,227
148,1,1174,647,44,5818,1.596e+04,1.796e+06,163.2,12.66,2.415e+06,2.415e+05,37.3,1.902,34.23,55.96,68.92,28.46,1.53e+04,1589
149,2,955,1253,39,41,41,1.309e+05,13.87,6.805,1.76e+05,1.76e+04,12.14,0.5549,18.34,25.38,30.33,13.93,2865,448
150,2,1105,1295,37,0,0,1.905e+04,11.15,5.964,2.562e+04,2562,5.174,0.1937,6.446,11.74,nan,6.962,568.6,131.4
151,2,1285,1403,38,0,0,3.29e+04,11.15,6.066,4.424e+04,4424,8.453,0.3347,7.112,12.08,nan,1.792,771.5,140.4
152,1,1164,824,40,2262,8117,8.099e+05,116.6,12.5,1.089e+06,1.089e+05,24.62,1.196,16,24.64,27.04,12.27,5548,567.4
153,1,1164,824,40,2004,7646,7.418e+05,113.2,12.5,9.976e+05,9.976e+04,24.57,1.184,15.96,24.61,26.98,11.94,4727,459.9
154,2,974,1225,39,19,19,1.455e+05,12.48,6.581,1.957e+05,1.957e+04,12.33,0.5876,21.51,14.71,22.94,9.351,2584,355.4
155,2,1259,1347,39,0,0,2.852e+04,11.15,5.99,3.835e+04,3835,8.759,0.4094,10.09,6.118,nan,3.898,617.6,152.3
156,2,1370,1450,40,0,0,1.984e+05,11.15,5.792,2.669e+05,2.669e+04,15.49,0.691,26.04,16.81,29.08,11.9,3795,349.4
157,2,1164,824,40,862,2522,2.428e+05,65.65,12.5,3.265e+05,3.265e+04,19.36,0.9532,8.501,12.09,nan,2.772,1922,250.9
158,2,1174,847,40,510,1207,1.088e+05,46.12,11.14,1.463e+05,1.463e+04,10.45,0.482,15.81,7.485,1.528,48.53,1137,194.1
159,2,1157,886,42,135,163,5.097e+04,19.87,7.919,6.854e+04,6854,8.702,0.3875,8.905,21.35,13.86,15.96,1124,253.8
160,2,1106,741,42,116,134,3.4e+04,18.62,10.07,4.573e+04,4573,6.763,0.2683,7.448,15.02,nan,13.08,711.3,143.3
161,1,1217,1283,44,0,0,3.08e+05,11.15,5.985,4.142e+05,4.142e+04,22.8,1.099,54.64,11.77,37.27,43.5,5209,743.6
162,2,1217,1283,44,0,0,1.302e+05,11.15,5.985,1.751e+05,1.751e+04,15.54,0.6971,23.96,10.9,19.48,10.6,2364,442
163,2,1174,647,44,951,1751,1.702e+05,55.05,12.66,2.289e+05,2.289e+04,14.18,0.6983,18.4,9.894,13.07,10.31,2120,367.3
164,2,1137,866,42,251,442,4.822e+04,29.29,8.416,6.485e+04,6485,7.085,0.3288,7.351,9.941,nan,3.565,740.3,140.4
165,2,1025,1509,43,84,84,1.681e+05,16.24,7.545,2.26e+05,2.26e+04,6.556,0.2328,21.17,32.61,38.91,11.9,4553,448
166,2,1377,1188,43,0,0,1.814e+04,11.15,5.197,2.439e+04,2439,nan,nan,12.46,8.967,nan,8.281,709.1,155.3
