ncl,cltype,maxpix x,maxpix y,maxpix v,SGMC,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,line_ratio,alphaco,meansigv,errsigv,a,b,R,errR,area,perim,density,densityerr,pressure,pressure_err,alphavir,erralphavir
34,2,1542,1657,34,1,0,0,1.973e+04,11.15,2.15,5.409e+05,5.409e+04,26.36,0.8,8.025,0.3527,8.545,22.95,14.42,21.56,2553,328.5,827.8,270.4,6.81e+06,3.055e+07,1.989,2.984
35,2,1404,525,35,345,901,1108,3.921e+04,19.43,4.253,6.925e+05,6.925e+04,16.98,0.8,5.225,0.2012,32.58,13.13,28.64,22.67,2196,307.6,268.7,34.89,4.717e+05,1.121e+06,1.308,1.048
36,2,1002,811,38,345,0,0,1.95e+04,11.15,1.489,3.444e+05,3.444e+04,16.98,0.8,14.75,0.7571,10.88,19.93,16.22,11.78,2241,295.7,416.9,69.82,1.03e+07,2.25e+07,11.87,8.782
37,2,1157,381,55,345,28,30,1.751e+04,11.45,2.323,3.092e+05,3.092e+04,16.98,0.8,10.79,0.6528,10.64,8.881,nan,4.411,978.8,170.2,nan,nan,nan,nan,nan,nan
38,2,1236,1252,74,2,0,0,1.294e+04,11.15,1.55,3.365e+05,3.365e+04,25,0.8,12.94,0.5051,9.552,10.02,nan,6.24,981.1,158.3,nan,nan,nan,nan,nan,nan
39,2,665,1647,13,1,0,0,4722,11.15,1.622,1.295e+05,1.295e+04,26.36,0.8,10,0.4802,10.33,5.339,nan,3.154,546.3,119.5,nan,nan,nan,nan,nan,nan
40,2,1339,1593,19,1,0,0,2882,11.15,1.606,7.902e+04,7902,26.36,0.8,nan,nan,7.287,11,nan,3.166,388,92.58,nan,nan,nan,nan,nan,nan
41,2,1141,603,61,345,0,0,6920,11.15,1.832,1.222e+05,1.222e+04,16.98,0.8,9.271,0.3528,7.732,9.772,nan,3.141,954.3,167.2,nan,nan,nan,nan,nan,nan
42,2,577,1867,42,1,2586,5203,2.871e+05,36.24,7.977,7.873e+06,7.873e+05,26.36,0.8,18.52,0.883,19.35,47.67,46.12,28.92,9008,890,1178,127.3,1.615e+07,3.046e+07,2.327,1.494
43,2,1354,449,38,345,389,575,2.895e+04,15.99,4.406,5.112e+05,5.112e+04,16.98,0.8,6.042,0.1394,13.7,11.36,10.05,4.982,1525,235.9,1611,287.8,1.078e+07,1.608e+07,0.8312,0.4221
44,2,1178,950,60,345,0,0,4811,11.15,1.787,1.251e+05,1.251e+04,25,0.8,4.185,0.1712,8.808,12.26,nan,6.992,628.8,119.5,nan,nan,nan,nan,nan,nan
45,2,1109,490,43,345,104,104,1.189e+04,12.17,2.933,2.1e+05,2.1e+04,16.98,0.8,5.171,0.231,9.605,13.89,6.504,12.79,822.8,185.2,1580,1442,1.197e+07,7.061e+07,0.9591,1.89
46,2,1007,1057,35,2,0,0,6647,11.15,1.418,1.728e+05,1.728e+04,25,0.8,7.182,0.2477,11.29,6.152,nan,2.551,660,128.4,nan,nan,nan,nan,nan,nan
47,2,639,1798,33,1,4,4,1.261e+04,11.19,2.184,3.457e+05,3.457e+04,26.36,0.8,7.439,0.4351,9.842,11.24,nan,5.873,927.6,155.3,nan,nan,nan,nan,nan,nan
48,2,1261,1394,33,2,0,0,6680,11.15,1.659,1.737e+05,1.737e+04,25,0.8,8.311,0.332,12.98,7.498,nan,8.39,896.3,167.2,nan,nan,nan,nan,nan,nan
49,2,962,1253,43,2,0,0,1.386e+04,11.15,1.124,3.603e+05,3.603e+04,25,0.8,9.774,0.7132,33.74,14.24,30.97,16.84,3126,406.2,119.6,13.52,6.795e+05,1.115e+06,9.509,5.437
50,2,1120,976,38,345,29,29,1.253e+04,11.44,2.319,3.257e+05,3.257e+04,25,0.8,6.241,0.3198,11.79,17.84,15.68,12.05,1329,203.1,421.6,74.94,1.929e+06,4.454e+06,2.172,1.697
